,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/success rate
0,819.0,0.29506075382232666,0.013518663123250008,9.999999747378752e-05,50.0,-20.964359283447266,0.0,0.0
1,228.0,0.43808040022850037,0.009442199021577835,9.999999747378752e-05,50.0,-15.33832836151123,0.0,0.0
2,185.0,0.554491400718689,0.0071295821107923985,9.999999747378752e-05,50.0,-15.4218168258667,0.0,0.0
3,169.0,0.6659484505653381,0.010378989391028881,9.999999747378752e-05,50.0,-28.34267807006836,0.0,0.0
4,145.0,0.8568528294563293,0.017492881044745445,9.999999747378752e-05,50.0,-28.32421875,0.0,0.0
5,143.0,0.9833844900131226,0.028213614597916603,9.999999747378752e-05,50.0,-40.26433563232422,0.0,0.0
6,142.0,1.1084030866622925,0.0398886539041996,9.999999747378752e-05,50.0,-36.180301666259766,0.0,0.0
7,142.0,1.1570764780044556,0.05067654699087143,9.999999747378752e-05,50.0,-9.178678512573242,0.0,0.0
8,141.0,1.219315767288208,0.06343710422515869,9.999999747378752e-05,50.0,-15.786245346069336,0.0,0.0
9,135.0,1.295770525932312,0.07009068131446838,9.999999747378752e-05,50.0,-10.722634315490723,0.0,0.0
10,135.0,1.3915997743606567,0.08489483594894409,9.999999747378752e-05,50.0,-9.47172737121582,0.0,0.0
11,135.0,1.4869920015335083,0.09715968370437622,9.999999747378752e-05,50.0,-8.722829818725586,0.0,0.0
12,135.0,1.5894607305526733,0.11400400102138519,9.999999747378752e-05,50.0,-9.250953674316406,0.0,0.0
13,135.0,1.682159662246704,0.12842485308647156,9.999999747378752e-05,50.0,-9.529838562011719,0.0,0.0
14,132.0,1.7858580350875854,0.15402427315711975,9.999999747378752e-05,50.0,-9.697945594787598,0.0,0.0
15,132.0,1.9038243293762207,0.17230454087257385,9.999999747378752e-05,50.0,-21.642314910888672,0.0,0.0
16,132.0,1.9670557975769043,0.18085463345050812,9.999999747378752e-05,50.0,-11.898773193359375,0.0,0.0
17,132.0,2.051546573638916,0.20368099212646484,9.999999747378752e-05,50.0,-23.531536102294922,0.0,0.0
18,133.0,2.131636142730713,0.21629872918128967,9.999999747378752e-05,50.0,-20.658594131469727,0.0,0.0
19,130.0,2.2127432823181152,0.22015772759914398,9.999999747378752e-05,50.0,-12.524075508117676,0.0,0.0
20,130.0,2.289093494415283,0.22888529300689697,9.999999747378752e-05,50.0,-8.02253532409668,0.0,0.0
21,130.0,2.405122756958008,0.24631726741790771,9.999999747378752e-05,50.0,-7.9206671714782715,0.0,0.0
22,130.0,2.510979175567627,0.24331307411193848,9.999999747378752e-05,50.0,-8.079663276672363,0.0,0.0
23,129.0,2.6365463733673096,0.2756580114364624,9.999999747378752e-05,50.0,-13.584226608276367,0.0,0.0
24,126.0,2.792755603790283,0.2758921980857849,9.999999747378752e-05,50.0,-16.559337615966797,0.0,0.0
25,126.0,2.954552173614502,0.3164014220237732,9.999999747378752e-05,50.0,-15.435857772827148,0.0,0.0
26,126.0,3.163578510284424,0.42207324504852295,9.999999747378752e-05,50.0,-13.205530166625977,0.0,0.0
27,126.0,3.315547466278076,0.4101763069629669,9.999999747378752e-05,50.0,-14.16882038116455,0.0,0.0
28,126.0,3.5113413333892822,0.4549402892589569,9.999999747378752e-05,50.0,-13.401084899902344,0.0,0.0
29,123.0,3.7145230770111084,0.5062949657440186,9.999999747378752e-05,50.0,-13.446817398071289,0.0,0.0
30,123.0,3.6228182315826416,0.6045016646385193,9.999999747378752e-05,50.0,-13.991874694824219,0.0,0.0
