,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
0,-10.159147262573242,0.7475504875183105,0.9706102013587952,-0.30211564898490906,9.999999747378752e-05,100.0,1.1589007377624512,101.0
1,-16.16240692138672,2.6518895626068115,0.9325550198554993,-0.7050169110298157,9.999999747378752e-05,100.0,1.3552086353302002,73.0
2,-22.029870986938477,0.3212992250919342,0.8960239291191101,-1.1004341840744019,9.999999747378752e-05,100.0,1.192065954208374,67.0
3,-27.82288932800293,4.234119415283203,0.8610486388206482,-1.477258563041687,9.999999747378752e-05,100.0,1.365286111831665,65.0
4,-32.903968811035156,0.6611724495887756,0.8275778889656067,-1.8877149820327759,9.999999747378752e-05,100.0,1.3410170078277588,63.0
5,-37.36565017700195,8.754533767700195,0.7953827381134033,-2.272432565689087,9.999999747378752e-05,100.0,1.296422004699707,65.0
6,-41.972957611083984,17.93316650390625,0.7644733786582947,-2.623244047164917,9.999999747378752e-05,100.0,1.1186925172805786,65.0
7,-46.20702362060547,19.260391235351562,0.7347843050956726,-2.993821859359741,9.999999747378752e-05,100.0,1.2853007316589355,64.0
8,-49.9230842590332,1.2658405303955078,0.7062665224075317,-3.3816192150115967,9.999999747378752e-05,100.0,1.3080389499664307,63.0
9,-52.91654586791992,19.815593719482422,0.678838312625885,-3.7349298000335693,9.999999747378752e-05,100.0,1.2205069065093994,62.0
10,-56.56602478027344,1.8146185874938965,0.6525341272354126,-4.138505935668945,9.999999747378752e-05,100.0,1.4507684707641602,64.0
11,-59.01979446411133,24.02981948852539,0.6271991729736328,-4.456121444702148,9.999999747378752e-05,100.0,1.4430431127548218,63.0
12,-61.75971221923828,4.039969444274902,0.602929413318634,-4.7969279289245605,9.999999747378752e-05,,,63.0
13,-63.51435852050781,39.9896125793457,0.5795672535896301,-5.1251349449157715,9.999999747378752e-05,,,62.0
14,-65.82775115966797,2.381070613861084,0.5570859909057617,-5.51027774810791,9.999999747378752e-05,,,62.0
15,-68.09423065185547,46.31761169433594,0.5354500412940979,-5.88552713394165,9.999999747378752e-05,,,63.0
