index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
32,32.0,4.0,103.66285481394459,"[-97.71612875985493, -98.8599589921749, -96.74089929986928, -96.54166854069082, -100.04703399685609, -100.135501481819, -287.22733473390605, -99.42080657690762, -98.80237393252268, -99.64152977710806]",20.0,0.0,0.1,340.0,2021-09-14 16:51:25.103234
33,33.0,4.0,225.268315272129,"[-100.10443995591542, -102.30594613664057, -139.43134425120493, -138.746018218332, -100.15457384864933, -101.06432268364928, -100.4338032638674, -99.61080098268633, -272.12366697394725, -266.9244726382596]",20.0,1.0,0.2,350.0,2021-09-14 16:51:25.926150
34,34.0,4.0,272.10397476287443,"[-100.28598847745941, -272.06116465722255, -261.62649485884947, -99.4754518128366, -99.58238729366033, -99.44827238675339, -225.0566202139856, -99.96461450275045, -100.3658930566113, -114.30210413827366]",20.0,1.0,0.3,360.0,2021-09-14 16:51:26.750511
35,35.0,4.0,287.6119173895749,"[-272.2239889755402, -97.32341938884886, -288.0799206256852, -220.10288307536675, -256.5536882710771, -219.8835584488529, -183.01627830736572, -103.54381248008723, -142.34294277446676, -100.40168395135923]",20.0,1.0,0.6,370.0,2021-09-14 16:51:27.582988
36,36.0,4.0,225.20421773542677,"[-109.71598049071262, -167.230740029828, -127.58279678048054, -292.5644031252409, -98.60268758421907, -267.12001651942205, -99.71647415208125, -101.11088570498404, -283.02705303599464, -277.8438430563525]",20.0,1.0,0.5,380.0,2021-09-14 16:51:28.413224
37,37.0,4.0,272.32743983048886,"[-100.41433548063809, -139.47825051036259, -99.0209341661343, -100.32113028724994, -101.78976025448308, -282.73073970984865, -102.24797402682246, -291.8506369095538, -266.8353185927833, -99.7984356641403]",20.0,1.0,0.3,390.0,2021-09-14 16:51:29.241556
38,38.0,4.0,282.6068813722448,"[-277.04659506018726, -186.64272370022096, -100.17080652902105, -246.06240805118765, -108.45327480906234, -100.62219209227179, -287.6393188325365, -99.24338811565582, -277.50218341469304, -99.63700359659855]",20.0,1.0,0.5,400.0,2021-09-14 16:51:30.069934
39,39.0,4.0,100.4550634515268,"[-287.1992124814651, -261.501559565776, -100.72391115894524, -99.33937239643461, -277.11389725788837, -241.21769826516746, -293.26174283932573, -282.88797704020504, -282.6979312127068, -100.3188148705098]",20.0,0.0,0.7,410.0,2021-09-14 16:51:30.903068
40,40.0,4.0,101.42070472733802,"[-293.2955470598692, -97.25398489093185, -96.67864663514327, -101.38171787744291, -99.57528371275146, -251.14527818748346, -99.66579038317073, -100.20795339587143, -138.79834214793374, -143.21331966312363]",20.0,0.0,0.2,420.0,2021-09-14 16:51:31.728201
41,41.0,4.0,272.7202224876474,"[-100.73083507542434, -144.0633477677623, -107.68638511113255, -99.55350350125538, -121.80288374743958, -100.54342764399999, -193.36944933741108, -282.5215262255581, -277.12367067398924, -100.19102837509016]",20.0,1.0,0.3,430.0,2021-09-14 16:51:32.558294
42,42.0,4.0,287.79698666198016,"[-199.30459559072543, -98.32544833380487, -143.02592355889823, -267.02873109130724, -100.38140185078701, -287.00079979129725, -287.59890755028226, -287.82862774918186, -287.8392921092233, -277.87468526638867]",20.0,1.0,0.7,440.0,2021-09-14 16:51:33.399207
43,43.0,4.0,287.6508942708716,"[-100.78678644584245, -271.7595153640521, -121.56626578878236, -112.25506786421185, -100.56809823600808, -102.05870358672519, -143.36774791249888, -101.62776253974361, -292.71368562161064, -282.6404490807085]",20.0,1.0,0.3,450.0,2021-09-14 16:51:34.231932
44,44.0,4.0,282.63300794519677,"[-271.9395787861955, -277.068403298874, -287.6753076034531, -100.68856498730942, -287.7189883668994, -277.1204819577055, -96.0935065113446, -97.51818315563287, -287.72206725058476, -287.61741082289547]",20.0,1.0,0.7,460.0,2021-09-14 16:51:35.078768
45,45.0,4.0,282.63180755036996,"[-140.64537173706526, -183.21410181738074, -287.739678022802, -102.87612785481743, -241.06405439330408, -277.10912882468267, -287.6240700440693, -282.6484591244107, -100.312069315288, -99.6843042626162]",20.0,1.0,0.6,470.0,2021-09-14 16:51:35.939982
46,46.0,4.0,287.7138528833054,"[-108.76085116015133, -282.6174547877562, -100.89249671691643, -282.78598128658336, -100.55366235088366, -251.12549694283518, -282.65964405831437, -287.7081653098649, -139.36868829503956, -100.78574172710171]",20.0,1.0,0.5,480.0,2021-09-14 16:51:36.770555
47,47.0,4.0,287.7487691202421,"[-282.6595760741753, -100.51997772677704, -100.90192777185494, -287.7731311770668, -100.40671035474107, -287.7298035619078, -287.8609023860494, -287.72846026694174, -100.69314447706964, -277.72231260632805]",20.0,1.0,0.6,490.0,2021-09-14 16:51:37.606006
48,48.0,4.0,282.6793294310287,"[-177.99787543459087, -118.0096797687661, -282.6259971884048, -287.68131313342053, -100.93625912318139, -103.05713059170029, -287.7892053424866, -126.59322750108792, -277.1075443508836, -127.10578055888409]",20.0,1.0,0.5,500.0,2021-09-14 16:51:38.435918
49,49.0,4.0,287.68405291713174,"[-282.73049217662475, -282.7158433898964, -287.5652311588307, -277.14544999115685, -272.7212435425504, -282.6597425465305, -137.24543923363362, -287.8368746607485, -282.8092103373323, -282.67206626324594]",20.0,1.0,0.9,510.0,2021-09-14 16:51:39.275389
50,50.0,4.0,287.882425206624,"[-99.00834383334703, -287.85399190511595, -100.19031838444283, -140.29783006699324, -282.63639638011904, -96.8589982657106, -282.42100375399696, -287.57024649147945, -160.81373065987597, -256.9131031130841]",20.0,1.0,0.6,520.0,2021-09-14 16:51:40.107926
51,51.0,4.0,287.8327652948624,"[-102.08821642935648, -140.16819894813761, -100.62770302163291, -143.0904074296014, -282.6346398669081, -100.431960798094, -282.65905684733923, -282.3821477657389, -251.58418161551498, -287.7917221715508]",20.0,1.0,0.5,530.0,2021-09-14 16:51:40.943360
52,52.0,4.0,292.83720601197257,"[-100.71168056713454, -100.08389435709263, -287.510842459728, -101.18600643490139, -282.8365273092375, -99.0849439894225, -100.73584229409957, -287.68691342388223, -101.65036114581359, -107.25314638413742]",20.0,1.0,0.3,540.0,2021-09-14 16:51:41.766439
53,53.0,4.0,282.74747222841603,"[-102.8499692901163, -112.27527012530456, -100.8221301071656, -292.7262494845579, -287.8386373399975, -282.9813090961498, -103.50140843587498, -235.61646220115307, -139.35472442083866, -127.80357090020327]",20.0,1.0,0.4,550.0,2021-09-14 16:51:42.600293
54,54.0,4.0,287.88212151769216,"[-282.61477122242127, -150.50853875773038, -287.7966139947972, -272.1796978066735, -282.87505492176876, -240.83820674317064, -287.8485013164433, -119.4338319713468, -287.6873496233481, -287.8937206391252]",20.0,1.0,0.9,560.0,2021-09-14 16:51:43.441667
55,55.0,4.0,287.6657255380246,"[-130.39570702493214, -282.13447783522196, -103.608173946145, -214.9797550660397, -101.13516296351771, -100.74534100261273, -143.02012663933817, -126.65236752408806, -282.81954709405676, -287.8064199016455]",20.0,1.0,0.4,570.0,2021-09-14 16:51:44.274674
56,56.0,4.0,282.8244741705951,"[-282.7964647792456, -287.74682642669336, -101.17228041038837, -103.58376330453305, -281.90148205208, -287.5400615062764, -193.39975393539072, -287.6458695504858, -282.603632219269, -277.05319632991063]",20.0,1.0,0.8,580.0,2021-09-14 16:51:45.112761
57,57.0,4.0,292.71982796667623,"[-272.4234410854193, -282.60741463906527, -100.84352904496527, -282.70233883097103, -272.02262830761833, -282.79046378908276, -143.83377374138618, -282.8509838309421, -277.3196915558269, -287.62975950495917]",20.0,1.0,0.8,590.0,2021-09-14 16:51:45.953202
58,58.0,4.0,282.83064203389705,"[-287.6828023855685, -256.6357519869288, -292.800324258782, -282.82311728793087, -292.7962121364212, -281.9405645194349, -281.92299317644006, -267.02259615818133, -272.6403931292278, -287.7299845301369]",20.0,1.0,1.0,600.0,2021-09-14 16:51:46.794971
59,59.0,4.0,287.904068367623,"[-140.66610247217935, -281.9994116649044, -287.7442000844366, -287.7974941847407, -261.7562155332099, -282.8421890346056, -287.8197359862053, -139.20195187920186, -282.8760114648214, -277.68432288924606]",20.0,1.0,0.8,610.0,2021-09-14 16:51:47.636850
60,60.0,4.0,282.8998035975974,"[-102.49252391056899, -282.46727361627126, -142.9394718747078, -287.54456043221717, -113.37008019297487, -292.66598267395244, -117.45092335466606, -292.65129641464915, -105.68819118513285, -282.86860400796246]",20.0,1.0,0.5,620.0,2021-09-14 16:51:48.475536
61,61.0,4.0,282.8877287732323,"[-103.45556193813522, -282.8912053100231, -282.22414830802694, -103.51698111535137, -287.7453532440467, -292.737366311244, -287.8243836172091, -282.6236798480719, -282.9593484061263, -292.78031778241694]",20.0,1.0,0.8,630.0,2021-09-14 16:51:49.312037
62,62.0,4.0,282.7864986926353,"[-282.5549065102962, -106.91390699127193, -287.6595690563928, -127.80277688344832, -287.6735520840966, -282.85843160759424, -282.53133413575, -292.70212197121225, -287.69655740782605, -282.6993201646808]",20.0,1.0,0.8,640.0,2021-09-14 16:51:50.148205
63,63.0,4.0,287.74696333107744,"[-282.5920882261118, -287.76634594185333, -287.69587282284374, -282.80607827318494, -292.7563354457088, -282.6063610863301, -292.71868936418974, -140.47490819684725, -282.760354513894, -282.674872516052]",20.0,1.0,0.9,650.0,2021-09-14 16:51:50.994297
64,64.0,4.0,287.6952576714475,"[-292.7253560123295, -282.5891943090333, -282.60909464448474, -282.6442650646089, -224.88991779212608, -277.45734271429393, -277.61564277740894, -287.6602224713231, -282.6327599177769, -287.6452129869822]",20.0,1.0,1.0,660.0,2021-09-14 16:51:51.843297
65,65.0,4.0,282.62958860748245,"[-282.6546266430633, -282.59936257499254, -292.781193681497, -139.12274152670935, -287.58000226170185, -277.96273242075705, -282.71278528039414, -287.6256308411643, -287.74537588430974, -277.6656152877275]",20.0,1.0,0.9,670.0,2021-09-14 16:51:52.685463
66,66.0,4.0,282.8054181472305,"[-282.58682773224535, -282.77152238261726, -287.589099149095, -108.10446057366676, -282.65671751460667, -282.71499297875954, -287.63002238733714, -287.7187575754725, -209.42925765117573, -287.7089543956015]",20.0,1.0,0.9,680.0,2021-09-14 16:51:53.524390
67,67.0,4.0,282.76760294463253,"[-287.76656982519506, -287.68809325082987, -287.53731603918516, -126.65422244542499, -282.56990144360685, -287.74408622656034, -105.26715505005319, -292.75850802657425, -292.6968723319822, -272.6242853360774]",20.0,1.0,0.8,690.0,2021-09-14 16:51:54.365941
68,68.0,4.0,287.6808605754277,"[-282.61387786321075, -287.64881946390113, -100.79690596780965, -287.4791326264539, -282.52100663520866, -282.54017472468115, -282.9478653516217, -282.59361559471813, -287.619373472309, -282.67490066589914]",20.0,1.0,0.9,700.0,2021-09-14 16:51:55.213003
