,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
0,-13.324851036071777,0.8399981260299683,0.9324836730957031,-0.5882511138916016,9.999999747378752e-05,200.0,-95.62973022460938,140.0
1,-22.84231948852539,3.8106822967529297,0.860829770565033,-1.2554945945739746,9.999999747378752e-05,200.0,-99.72249603271484,115.0
2,-31.705413818359375,0.3125816881656647,0.7947681546211243,-1.9228200912475586,9.999999747378752e-05,200.0,-97.0027847290039,110.0
3,-39.315303802490234,0.7103017568588257,0.7337558269500732,-2.5867276191711426,9.999999747378752e-05,200.0,-101.50009155273438,107.0
4,-45.209197998046875,0.5947805643081665,0.6774618029594421,-3.260789394378662,9.999999747378752e-05,200.0,-96.4032211303711,106.0
5,-50.84733200073242,1.7370727062225342,0.6255373954772949,-3.890812873840332,9.999999747378752e-05,200.0,-97.30758666992188,108.0
6,-53.44929122924805,3.0393948554992676,0.5775904655456543,-4.536713123321533,9.999999747378752e-05,200.0,-105.16365051269531,107.0
7,-56.22256851196289,0.9690637588500977,0.5332480669021606,-5.174432754516602,9.999999747378752e-05,200.0,-103.09745025634766,106.0
8,-58.17220687866211,0.9004566669464111,0.4922827482223511,-5.846878528594971,9.999999747378752e-05,200.0,-86.12171936035156,105.0
9,-61.8632698059082,1.072096824645996,0.4544751048088074,-6.542011737823486,9.999999747378752e-05,200.0,-95.08667755126953,105.0
10,-61.5724983215332,1.3499926328659058,0.4195895493030548,-7.203718185424805,9.999999747378752e-05,200.0,-89.43614196777344,106.0
11,-63.831756591796875,0.6694357395172119,0.38742968440055847,-7.742588996887207,9.999999747378752e-05,200.0,-99.17462158203125,105.0
12,-63.45746994018555,0.4087028503417969,0.3577573597431183,-8.47961711883545,9.999999747378752e-05,200.0,-101.64085388183594,105.0
13,-63.86372756958008,0.5438309907913208,0.33035707473754883,-9.02407455444336,9.999999747378752e-05,200.0,-96.14453887939453,104.0
14,-62.062225341796875,0.4022112190723419,0.3050430417060852,-9.575804710388184,9.999999747378752e-05,200.0,-90.93804931640625,104.0
15,-60.35603713989258,0.3649786710739136,0.28166285157203674,-10.2444429397583,9.999999747378752e-05,200.0,-97.83782958984375,105.0
16,-60.3996696472168,0.26839470863342285,0.26006054878234863,-10.947355270385742,9.999999747378752e-05,200.0,-96.35264587402344,105.0
17,-59.2243537902832,0.26042312383651733,0.24011030793190002,-11.548571586608887,9.999999747378752e-05,200.0,-87.73147583007812,105.0
18,-54.57748031616211,0.26676222681999207,0.22168247401714325,-12.292023658752441,9.999999747378752e-05,200.0,-96.03433227539062,105.0
19,-57.92046356201172,0.15030348300933838,0.2046758234500885,-12.859065055847168,9.999999747378752e-05,200.0,-98.59944152832031,105.0
20,-53.21836471557617,0.16802340745925903,0.18896807730197906,-13.58829116821289,9.999999747378752e-05,200.0,-96.6346206665039,106.0
21,-50.399471282958984,0.1599847972393036,0.17447029054164886,-13.825084686279297,9.999999747378752e-05,200.0,-95.93830871582031,105.0
22,-50.46989822387695,0.12296538800001144,0.16108493506908417,-14.907998085021973,9.999999747378752e-05,200.0,-90.84324645996094,105.0
23,-47.077205657958984,0.09795883297920227,0.1487163007259369,-15.064352989196777,9.999999747378752e-05,200.0,-83.5755615234375,105.0
24,-46.49876403808594,0.09106157720088959,0.13729263842105865,-15.81954288482666,9.999999747378752e-05,200.0,-91.07939147949219,105.0
25,-44.34469223022461,0.10861193388700485,0.12673844397068024,-16.577678680419922,9.999999747378752e-05,200.0,-82.3818359375,106.0
26,-40.5341911315918,0.07478609681129456,0.11699894815683365,-17.294225692749023,9.999999747378752e-05,200.0,-85.3788833618164,106.0
27,-39.4145393371582,0.043090999126434326,0.10801302641630173,-17.66895866394043,9.999999747378752e-05,200.0,-93.35503387451172,106.0
28,-40.2501220703125,0.04546576365828514,0.09971261769533157,-18.648143768310547,9.999999747378752e-05,200.0,-82.52108001708984,105.0
29,-36.616939544677734,0.03569000959396362,0.09204850345849991,-19.07270050048828,9.999999747378752e-05,200.0,-81.65318298339844,105.0
30,-34.9611930847168,0.03145868331193924,0.08496937900781631,-19.95537757873535,9.999999747378752e-05,200.0,-85.66484069824219,106.0
31,-30.53703498840332,0.029525181278586388,0.07843980938196182,-20.631498336791992,9.999999747378752e-05,200.0,-83.56829833984375,106.0
32,-30.735937118530273,0.03829122707247734,0.07241608202457428,-21.130582809448242,9.999999747378752e-05,200.0,-81.4070816040039,105.0
33,-26.638729095458984,0.022496256977319717,0.0668569877743721,-21.81891632080078,9.999999747378752e-05,200.0,-86.93864440917969,105.0
34,-26.61663055419922,0.022489774972200394,0.06172564998269081,-22.54012680053711,9.999999747378752e-05,200.0,-79.55768585205078,105.0
35,-25.80787467956543,0.015055229887366295,0.05698765441775322,-23.033002853393555,9.999999747378752e-05,200.0,-83.00236511230469,105.0
36,-20.87633514404297,0.015403970144689083,0.05261573567986488,-23.487043380737305,9.999999747378752e-05,200.0,-79.1529312133789,105.0
37,-22.379465103149414,0.040020473301410675,0.04857967793941498,-24.46070098876953,9.999999747378752e-05,200.0,-86.31269836425781,105.0
38,-20.258668899536133,0.02419884502887726,0.04485616087913513,-24.418176651000977,9.999999747378752e-05,200.0,-81.56999206542969,105.0
39,-17.777206420898438,0.020250365138053894,0.04142119362950325,-25.357051849365234,9.999999747378752e-05,200.0,-76.38287353515625,105.0
40,-16.501806259155273,0.012709863483905792,0.038250260055065155,-25.301979064941406,9.999999747378752e-05,200.0,-84.97801208496094,105.0
41,-16.342695236206055,0.008671194314956665,0.035320837050676346,-25.964603424072266,9.999999747378752e-05,200.0,-77.40705108642578,105.0
42,-14.815834999084473,0.014715860597789288,0.03261589631438255,-26.428911209106445,9.999999747378752e-05,200.0,-77.359130859375,105.0
43,-13.773778915405273,0.0075616976246237755,0.030119577422738075,-27.189403533935547,9.999999747378752e-05,200.0,-82.022705078125,105.0
44,-11.232292175292969,0.014115503057837486,0.027814185246825218,-27.463232040405273,9.999999747378752e-05,200.0,-68.36531066894531,105.0
45,-9.592273712158203,0.014013055711984634,0.025684040039777756,-28.240463256835938,9.999999747378752e-05,200.0,-65.9852066040039,105.0
46,-9.404740333557129,0.00856279581785202,0.023718612268567085,-28.534574508666992,9.999999747378752e-05,200.0,-60.2366943359375,105.0
47,-9.91128921508789,0.0068351696245372295,0.02190404199063778,-28.995805740356445,9.999999747378752e-05,200.0,-59.01061248779297,105.0
48,-7.525138854980469,0.007251176983118057,0.02023116499185562,-29.86832046508789,9.999999747378752e-05,200.0,-53.95857620239258,105.0
49,-7.009401798248291,0.005020728334784508,0.018686285242438316,-30.16153335571289,9.999999747378752e-05,200.0,-53.12993621826172,105.0
50,-6.867758750915527,0.006673028226941824,0.017260143533349037,-29.935970306396484,9.999999747378752e-05,200.0,-55.937599182128906,105.0
51,-5.615307331085205,0.005830743815749884,0.01594449207186699,-31.031118392944336,9.999999747378752e-05,200.0,-54.68391799926758,105.0
52,-4.962027549743652,0.01825040578842163,0.014730214141309261,-30.862035751342773,9.999999747378752e-05,200.0,-50.18364334106445,105.0
53,-4.282487869262695,0.0047146910801529884,0.013609436340630054,-31.40999412536621,9.999999747378752e-05,200.0,-52.585670471191406,105.0
54,-3.7867913246154785,0.006750340573489666,0.012575249187648296,-31.127798080444336,9.999999747378752e-05,200.0,-52.35924530029297,105.0
55,-2.5368940830230713,0.004915701691061258,0.011621672660112381,-32.38710021972656,9.999999747378752e-05,200.0,-43.60905456542969,105.0
56,-2.836941957473755,0.0070792678743600845,0.010741951875388622,-30.605182647705078,9.999999747378752e-05,200.0,-54.03035354614258,105.0
57,-1.5986467599868774,0.017351198941469193,0.009928023442626,-31.64206886291504,9.999999747378752e-05,200.0,-44.07267379760742,105.0
58,-1.3646236658096313,0.0057364897802472115,0.009175863116979599,-31.63517189025879,9.999999747378752e-05,200.0,-48.50267791748047,104.0
59,-1.5251129865646362,0.0073670893907547,0.00848303735256195,-30.987749099731445,9.999999747378752e-05,200.0,-53.129844665527344,104.0
60,-0.9451831579208374,0.004689234308898449,0.007842246443033218,-31.96316146850586,9.999999747378752e-05,200.0,-54.2281494140625,105.0
61,-0.7524528503417969,0.007074348162859678,0.0072516752406954765,-33.561824798583984,9.999999747378752e-05,200.0,-48.688751220703125,104.0
62,-0.2679312527179718,0.003902681637555361,0.006705040577799082,-31.703908920288086,9.999999747378752e-05,200.0,-40.7336540222168,104.0
63,0.15484938025474548,0.004789954982697964,0.006201006937772036,-31.51054573059082,9.999999747378752e-05,200.0,-41.92396926879883,104.0
64,-0.061277952045202255,0.002694373019039631,0.005735136102885008,-32.60422134399414,9.999999747378752e-05,200.0,-35.190773010253906,104.0
65,0.3658955991268158,0.0057825446128845215,0.005302983336150646,-29.34554672241211,9.999999747378752e-05,200.0,-36.56652069091797,104.0
66,0.8371677994728088,0.007894324138760567,0.004906799644231796,-31.682079315185547,9.999999747378752e-05,200.0,-34.323150634765625,104.0
