,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-26.860397338867188,212.0,0.30067235231399536,0.010368375107645988,9.999999747378752e-05,200.0,-24.906015396118164,200.0
1,-27.5297908782959,161.0,0.5900309681892395,0.011440865695476532,9.999999747378752e-05,200.0,-24.966968536376953,200.0
2,-27.294330596923828,150.0,0.6013045907020569,0.010337439365684986,9.999999747378752e-05,200.0,-29.538990020751953,200.0
3,-27.95304298400879,145.0,0.7630679607391357,0.011597591452300549,9.999999747378752e-05,200.0,-28.13804054260254,200.0
4,-27.996746063232422,140.0,0.9302007555961609,0.013111233711242676,9.999999747378752e-05,200.0,-29.573627471923828,200.0
5,-28.160673141479492,144.0,1.0909442901611328,0.014875558204948902,9.999999747378752e-05,200.0,-31.331390380859375,200.0
6,-28.43693733215332,142.0,1.2540106773376465,0.017383737489581108,9.999999747378752e-05,200.0,-30.20852279663086,200.0
7,-28.702611923217773,141.0,1.3768339157104492,0.02002348192036152,9.999999747378752e-05,200.0,-30.29326820373535,200.0
8,-28.79167366027832,141.0,1.5544888973236084,0.023934675380587578,9.999999747378752e-05,200.0,-30.4581356048584,200.0
9,-28.97452735900879,140.0,1.7842191457748413,0.033993396908044815,9.999999747378752e-05,200.0,-29.222869873046875,200.0
10,-29.115108489990234,143.0,2.046823263168335,0.032091982662677765,9.999999747378752e-05,200.0,-32.88338088989258,200.0
11,-29.219890594482422,142.0,2.3066694736480713,0.038295384496450424,9.999999747378752e-05,200.0,-31.160451889038086,200.0
12,-29.31438636779785,141.0,2.568474531173706,0.04765641689300537,9.999999747378752e-05,200.0,-31.072811126708984,200.0
13,-29.46133041381836,140.0,2.854814291000366,0.05685548856854439,9.999999747378752e-05,200.0,-30.788772583007812,200.0
14,-29.443614959716797,139.0,3.1314542293548584,0.06391497701406479,9.999999747378752e-05,200.0,-30.8332462310791,200.0
15,-29.482343673706055,140.0,3.4279372692108154,0.06575855612754822,9.999999747378752e-05,200.0,-31.193073272705078,200.0
