,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-67.63685607910156,125.0,-16.01058006286621,2.7369556427001953,0.923216700553894,-0.6731812357902527,9.999999747378752e-05,225.0,-52.828304290771484,225.0
1,-69.52536010742188,109.0,-26.015249252319336,0.16004106402397156,0.8437246084213257,-1.4255268573760986,9.999999747378752e-05,225.0,-59.46001052856445,225.0
2,-68.09689331054688,101.0,-33.83504867553711,0.35496068000793457,0.7711343765258789,-2.184903860092163,9.999999747378752e-05,225.0,-70.1320571899414,225.0
3,-66.96771240234375,95.0,-40.14155197143555,0.4455164670944214,0.7048712968826294,-2.924964427947998,9.999999747378752e-05,225.0,-59.66953659057617,225.0
4,-67.78284454345703,90.0,-43.47404098510742,7.576413154602051,0.6444327235221863,-3.6645824909210205,9.999999747378752e-05,225.0,-59.454681396484375,225.0
5,-68.32210540771484,85.0,-46.917728424072266,1.3040056228637695,0.5893250107765198,-4.305807113647461,9.999999747378752e-05,225.0,-58.06491470336914,225.0
6,-67.9727554321289,81.0,-49.85562515258789,10.2694091796875,0.5390845537185669,-5.009191513061523,9.999999747378752e-05,225.0,-61.24336242675781,225.0
7,-67.61579895019531,77.0,-50.95350646972656,7.114634990692139,0.49328815937042236,-5.7384934425354,9.999999747378752e-05,225.0,-58.46012496948242,225.0
8,-67.3509521484375,73.0,-51.626434326171875,2.750993251800537,0.4514608383178711,-6.27655553817749,9.999999747378752e-05,225.0,-64.2645034790039,225.0
9,-67.28448486328125,70.0,-52.4648323059082,3.6981072425842285,0.4131437838077545,-6.9654541015625,9.999999747378752e-05,225.0,-50.656375885009766,225.0
10,-67.13978576660156,68.0,-50.63218307495117,8.618547439575195,0.3779797852039337,-7.514665126800537,9.999999747378752e-05,225.0,-50.192378997802734,225.0
11,-66.95205688476562,65.0,-51.06373977661133,1.356715440750122,0.34570199251174927,-8.266189575195312,9.999999747378752e-05,225.0,-60.41868209838867,225.0
