,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
0,-36.458534240722656,0.0,81.0,-7.829625129699707,0.12429037690162659,0.9648103713989258,-0.23982678353786469,9.999999747378752e-05,115.0,-32.663963317871094,0.0,115.0
1,-38.5008659362793,0.0,72.0,-12.079050064086914,0.6135646104812622,0.9214291572570801,-0.5550083518028259,9.999999747378752e-05,115.0,-34.65093231201172,0.0,115.0
2,-36.816139221191406,0.0,59.0,-16.013763427734375,1.7779743671417236,0.8800077438354492,-0.8617148995399475,9.999999747378752e-05,115.0,-32.85690689086914,0.0,115.0
3,-36.08302688598633,0.0,59.0,-19.708332061767578,2.915008306503296,0.8404462337493896,-1.1640962362289429,9.999999747378752e-05,115.0,-33.87302017211914,0.0,115.0
4,-35.69799041748047,0.05000000074505806,56.0,-22.755687713623047,4.582840919494629,0.8026852011680603,-1.473496675491333,9.999999747378752e-05,,,,115.0
5,-34.837528228759766,0.0416666679084301,56.0,-26.07651710510254,4.48469352722168,0.7666690945625305,-1.7803846597671509,9.999999747378752e-05,,,,115.0
6,-35.05099105834961,0.0357142873108387,54.0,-28.733959197998047,5.810722827911377,0.7323005199432373,-2.082085132598877,9.999999747378752e-05,,,,115.0
7,-34.97134017944336,0.03125,55.0,-30.84226417541504,3.0836386680603027,0.6995164155960083,-2.3744053840637207,9.999999747378752e-05,,,,115.0
8,-35.514556884765625,0.02777777798473835,54.0,-32.5704345703125,1.0353329181671143,0.6681814789772034,-2.686652183532715,9.999999747378752e-05,,,,115.0
9,-36.201595306396484,0.02500000037252903,54.0,-34.804893493652344,15.456295013427734,0.6382357478141785,-2.996737003326416,9.999999747378752e-05,,,,115.0
