,eval/mean_reward,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length
0,-414.27691650390625,76.0,-67.53057861328125,1.3200887441635132,0.6907299160957336,-4.9549665451049805,9.999999747378752e-05,1000.0
1,-413.08709716796875,72.0,-98.76631164550781,7.006359577178955,0.46302202343940735,-10.310525894165039,9.999999747378752e-05,1000.0
2,-375.92999267578125,71.0,-106.74827575683594,9.4774751663208,0.31045201420783997,-15.605916976928711,9.999999747378752e-05,1000.0
3,-317.87359619140625,71.0,-101.56562042236328,10.215929985046387,0.20817171037197113,-20.890514373779297,9.999999747378752e-05,1000.0
4,-372.72198486328125,71.0,-89.81565856933594,7.536898136138916,0.13970912992954254,-25.7540340423584,9.999999747378752e-05,1000.0
5,-414.2049255371094,71.0,-75.38215637207031,5.222199440002441,0.09384994953870773,-29.965181350708008,9.999999747378752e-05,1000.0
6,-333.98455810546875,71.0,-60.68245315551758,3.291116714477539,0.06328122317790985,-33.06715393066406,9.999999747378752e-05,1000.0
7,-404.89996337890625,71.0,-46.706748962402344,3.3293468952178955,0.042767483741045,-34.60463333129883,9.999999747378752e-05,1000.0
8,-386.5248718261719,71.0,-34.198490142822266,2.648597240447998,0.028921686112880707,-35.49667739868164,9.999999747378752e-05,1000.0
9,-457.1051330566406,71.0,-23.30817222595215,2.006442070007324,0.01967010088264942,-33.97660446166992,9.999999747378752e-05,1000.0
