,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
0,-54.34373474121094,0.0,250.0,0.6021358966827393,0.09556521475315094,9.999999747378752e-05,100.0,-65.84230041503906,0.0,100.0
1,-54.46181106567383,0.0,204.0,1.2517963647842407,0.03587547689676285,9.999999747378752e-05,100.0,-91.83879089355469,0.0,100.0
2,-62.69453811645508,0.0,156.0,1.839830994606018,0.0565495565533638,9.999999747378752e-05,100.0,-91.79643249511719,0.0,100.0
3,-69.71839904785156,0.0,157.0,2.5066375732421875,0.08140319585800171,9.999999747378752e-05,100.0,-41.728271484375,0.0,100.0
4,-73.98974609375,0.0,138.0,3.169985294342041,0.14328593015670776,9.999999747378752e-05,100.0,-28.44525146484375,0.0,100.0
5,-76.8022689819336,0.0,142.0,4.001697063446045,0.1882382035255432,9.999999747378752e-05,100.0,-31.917505264282227,0.0,100.0
6,-78.8244400024414,0.0,146.0,4.8152008056640625,0.2778127193450928,9.999999747378752e-05,100.0,-28.950313568115234,0.0,100.0
7,-77.4699478149414,0.0,136.0,5.544772624969482,0.30949077010154724,9.999999747378752e-05,100.0,-36.048194885253906,0.0,100.0
8,-73.1418228149414,0.0,140.0,5.7900166511535645,0.3464084565639496,9.999999747378752e-05,100.0,-29.382652282714844,0.0,100.0
9,-69.4826889038086,0.0,134.0,6.0304741859436035,0.3501315116882324,9.999999747378752e-05,100.0,-29.240074157714844,0.0,100.0
10,-66.80133819580078,0.0,137.0,6.399596214294434,0.383401483297348,9.999999747378752e-05,100.0,-29.01399040222168,0.0,100.0
11,-63.8525276184082,0.0,140.0,6.624798774719238,0.3675103187561035,9.999999747378752e-05,100.0,-27.974395751953125,0.0,100.0
12,-61.093746185302734,0.0,135.0,6.72365665435791,0.41084620356559753,9.999999747378752e-05,100.0,-29.877803802490234,0.0,100.0
13,-58.92966079711914,0.0,137.0,7.011313438415527,0.38670408725738525,9.999999747378752e-05,100.0,-24.42445945739746,0.0,100.0
14,-57.10751724243164,0.0,134.0,7.254034519195557,0.3881790339946747,9.999999747378752e-05,100.0,-24.2244930267334,0.0,100.0
15,-55.742130279541016,0.0,136.0,7.486391544342041,0.37357398867607117,9.999999747378752e-05,100.0,-23.97959327697754,0.0,100.0
16,-54.65528106689453,0.0,138.0,7.679549694061279,0.44755539298057556,9.999999747378752e-05,100.0,-25.518857955932617,0.0,100.0
17,-53.4281120300293,0.0,135.0,7.892788887023926,0.29608219861984253,9.999999747378752e-05,100.0,-24.073307037353516,0.0,100.0
18,-52.35546875,0.0,137.0,8.087818145751953,0.29646748304367065,9.999999747378752e-05,100.0,-23.701107025146484,0.0,100.0
19,-51.30698776245117,0.0,134.0,8.253375053405762,0.26332956552505493,9.999999747378752e-05,100.0,-23.744266510009766,0.0,100.0
20,-50.28068542480469,0.0,136.0,8.434398651123047,0.23840215802192688,9.999999747378752e-05,100.0,-22.245576858520508,0.0,100.0
21,-49.307308197021484,0.0,137.0,8.852163314819336,0.1695660501718521,9.999999747378752e-05,100.0,-23.265193939208984,0.0,100.0
22,-48.432350158691406,0.0,135.0,8.782469749450684,0.21768540143966675,9.999999747378752e-05,100.0,-23.04832649230957,0.0,100.0
23,-47.627586364746094,0.0,136.0,9.02505874633789,0.2556011974811554,9.999999747378752e-05,100.0,-23.08505630493164,0.0,100.0
24,-46.89350891113281,0.0,135.0,9.112009048461914,0.14076288044452667,9.999999747378752e-05,100.0,-22.86066246032715,0.0,100.0
25,-45.87195587158203,0.0,136.0,9.268811225891113,0.18442220985889435,9.999999747378752e-05,100.0,-23.429304122924805,0.0,100.0
26,-44.84751510620117,0.0,137.0,9.4302978515625,0.1586870700120926,9.999999747378752e-05,100.0,-24.32604217529297,0.0,100.0
27,-42.81829071044922,0.0,136.0,9.641182899475098,0.1289999932050705,9.999999747378752e-05,100.0,-22.119449615478516,0.0,100.0
28,-40.24517059326172,0.0,137.0,9.740095138549805,0.2414342164993286,9.999999747378752e-05,100.0,-21.8773250579834,0.0,100.0
29,-37.70701599121094,0.0,135.0,9.32843017578125,0.22567462921142578,9.999999747378752e-05,100.0,-21.83292007446289,0.0,100.0
30,-35.19315719604492,0.0,135.0,9.680304527282715,0.17067201435565948,9.999999747378752e-05,100.0,-21.412841796875,0.0,100.0
31,-32.57915496826172,0.0,136.0,9.68395709991455,0.19636224210262299,9.999999747378752e-05,100.0,-20.552133560180664,0.0,100.0
32,-30.9124813079834,0.0,134.0,9.809172630310059,0.1519952118396759,9.999999747378752e-05,100.0,-20.7467098236084,0.0,100.0
33,-30.38803482055664,0.0,135.0,9.722835540771484,0.15204928815364838,9.999999747378752e-05,100.0,-20.679296493530273,0.0,100.0
34,-29.884511947631836,0.0,133.0,9.960147857666016,0.16263748705387115,9.999999747378752e-05,100.0,-20.971967697143555,0.0,100.0
35,-29.316957473754883,0.0,134.0,10.137174606323242,0.1596139520406723,9.999999747378752e-05,100.0,-20.80606460571289,0.0,100.0
36,-29.023386001586914,0.0,135.0,10.224883079528809,0.14478319883346558,9.999999747378752e-05,100.0,-21.286937713623047,0.0,100.0
37,-28.871469497680664,0.0,133.0,10.52323055267334,0.11575713753700256,9.999999747378752e-05,100.0,-20.64080047607422,0.0,100.0
38,-28.637222290039062,0.0,134.0,10.49266529083252,0.14471663534641266,9.999999747378752e-05,100.0,-20.761920928955078,0.0,100.0
39,-28.33749008178711,0.0,132.0,10.58746337890625,0.11448492854833603,9.999999747378752e-05,100.0,-20.802749633789062,0.0,100.0
40,-27.890865325927734,0.0,133.0,10.833179473876953,0.10923612117767334,9.999999747378752e-05,100.0,-20.59149169921875,0.0,100.0
