,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
0,-30.937267303466797,0.0,139.0,-4.695667266845703,0.1684260070323944,0.9851192235946655,-0.07552451640367508,9.999999747378752e-05,100.0,-28.806720733642578,0.0,100.0
1,-27.266313552856445,0.0,107.0,-7.560098648071289,0.2961764931678772,0.9464612603187561,-0.27723267674446106,9.999999747378752e-05,100.0,-22.332273483276367,0.0,100.0
2,-27.951887130737305,0.0,82.0,-10.231623649597168,0.6271806955337524,0.9093461036682129,-0.4786437749862671,9.999999747378752e-05,100.0,-22.07872200012207,0.0,100.0
3,-25.701112747192383,0.0,83.0,-12.839468002319336,0.8165760636329651,0.8736973404884338,-0.6803237795829773,9.999999747378752e-05,100.0,-17.900129318237305,0.0,100.0
4,-24.440826416015625,0.0,76.0,-15.147944450378418,1.3303331136703491,0.8394460678100586,-0.8812255263328552,9.999999747378752e-05,100.0,-20.214542388916016,0.0,100.0
5,-24.097307205200195,0.0,77.0,-17.453155517578125,1.411912202835083,0.8065411448478699,-1.0832570791244507,9.999999747378752e-05,100.0,-18.116649627685547,0.0,100.0
6,-23.655702590942383,0.0357142873108387,79.0,-19.500614166259766,1.8084098100662231,0.7749174237251282,-1.283138394355774,9.999999747378752e-05,100.0,-17.685930252075195,0.0,100.0
7,-23.21924591064453,0.03125,75.0,-21.262434005737305,2.274146556854248,0.7445956468582153,-1.4796913862228394,9.999999747378752e-05,100.0,-17.418933868408203,0.0,100.0
8,-23.38240623474121,0.02777777798473835,76.0,-22.884214401245117,2.383073568344116,0.7154824733734131,-1.6779344081878662,9.999999747378752e-05,100.0,-17.351810455322266,0.0,100.0
9,-22.913021087646484,0.02500000037252903,73.0,-24.47769546508789,2.894562244415283,0.687492847442627,-1.8793257474899292,9.999999747378752e-05,100.0,-19.099525451660156,0.0,100.0
10,-22.89983558654785,0.022727273404598236,74.0,-25.845691680908203,3.137113094329834,0.6605636477470398,-2.080813407897949,9.999999747378752e-05,100.0,-18.599416732788086,0.0,100.0
11,-22.5376033782959,0.02083333395421505,75.0,-27.020891189575195,3.3087308406829834,0.6347042322158813,-2.2782249450683594,9.999999747378752e-05,100.0,-22.627243041992188,0.0,100.0
12,-22.38581657409668,0.01923076994717121,73.0,-27.982351303100586,3.375656843185425,0.6098077893257141,-2.4817898273468018,9.999999747378752e-05,100.0,-17.60965919494629,0.0,100.0
13,-22.028594970703125,0.01785714365541935,74.0,-28.933252334594727,3.8897690773010254,0.5859224796295166,-2.6807076930999756,9.999999747378752e-05,100.0,-19.08071517944336,0.0,100.0
14,-21.694833755493164,0.01666666753590107,73.0,-29.75908088684082,3.9712071418762207,0.562946617603302,-2.8807530403137207,9.999999747378752e-05,100.0,-19.541091918945312,0.0,100.0
15,-21.45578956604004,0.015625,73.0,-30.49347686767578,4.1004180908203125,0.5409223437309265,-3.0574252605438232,9.999999747378752e-05,100.0,-15.800180435180664,0.0,100.0
16,-21.34966278076172,0.014705882407724857,74.0,-31.09077262878418,3.8284740447998047,0.5198320746421814,-3.25900936126709,9.999999747378752e-05,100.0,-21.002504348754883,0.0,100.0
17,-21.28870391845703,0.013888888992369175,73.0,-31.52545928955078,4.428114891052246,0.4995296597480774,-3.439784288406372,9.999999747378752e-05,100.0,-21.392797470092773,0.0,100.0
18,-21.093713760375977,0.01315789483487606,73.0,-31.890892028808594,4.835548400878906,0.48006904125213623,-3.6299452781677246,9.999999747378752e-05,100.0,-15.88479995727539,0.0,100.0
19,-20.888246536254883,0.012500000186264515,72.0,-32.23859786987305,3.8123204708099365,0.46139073371887207,-3.799895763397217,9.999999747378752e-05,100.0,-17.255640029907227,0.0,100.0
