,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
26,-38.436805725097656,0.029169974848628044,0.08925259113311768,-19.235830307006836,9.999999747378752e-05,225.0,-139.90663146972656,99.0
27,-39.48114013671875,0.023389466106891632,0.08158137649297714,-20.2723388671875,9.999999747378752e-05,225.0,-131.30239868164062,99.0
28,-37.0340576171875,0.0196746364235878,0.07457423210144043,-20.61969757080078,9.999999747378752e-05,225.0,-143.55630493164062,99.0
29,-31.16063690185547,0.02201554924249649,0.0681709572672844,-21.647783279418945,9.999999747378752e-05,225.0,-133.31570434570312,99.0
30,-28.904829025268555,0.019370585680007935,0.06231634318828583,-22.423641204833984,9.999999747378752e-05,225.0,-132.38963317871094,99.0
31,-27.968563079833984,0.015653036534786224,0.05696629732847214,-23.057096481323242,9.999999747378752e-05,225.0,-133.37159729003906,99.0
32,-27.419740676879883,0.013904164545238018,0.0520743690431118,-23.89149284362793,9.999999747378752e-05,225.0,-131.94671630859375,99.0
33,-28.96109390258789,0.010775117203593254,0.047603387385606766,-24.003320693969727,9.999999747378752e-05,225.0,-134.2836456298828,99.0
34,-21.216590881347656,0.008409040048718452,0.0435180589556694,-25.16564178466797,9.999999747378752e-05,225.0,-130.84530639648438,99.0
35,-23.775821685791016,0.006708892062306404,0.03977881371974945,-25.549007415771484,9.999999747378752e-05,225.0,-137.9197540283203,99.0
36,-21.849626541137695,0.010167034342885017,0.03636213019490242,-26.40740203857422,9.999999747378752e-05,225.0,-127.14278411865234,99.0
37,-20.1844425201416,0.005670016631484032,0.033241018652915955,-26.569189071655273,9.999999747378752e-05,225.0,-129.1488494873047,99.0
38,-17.562641143798828,0.004099997226148844,0.030386993661522865,-26.87212562561035,9.999999747378752e-05,225.0,-131.09347534179688,99.0
39,-18.247310638427734,0.00390311935916543,0.027779292315244675,-28.019987106323242,9.999999747378752e-05,225.0,-121.59688568115234,98.0
40,-15.592598915100098,0.003600122407078743,0.02539665810763836,-28.09490394592285,9.999999747378752e-05,225.0,-119.76725006103516,99.0
41,-13.99856948852539,0.0039032907225191593,0.02321842685341835,-29.44479751586914,9.999999747378752e-05,225.0,-115.70975494384766,99.0
42,-13.50324821472168,0.0032447134144604206,0.02122948318719864,-29.569169998168945,9.999999747378752e-05,225.0,-112.0691909790039,99.0
43,-11.795037269592285,0.0033286218531429768,0.019414639100432396,-30.02066421508789,9.999999747378752e-05,225.0,-112.15936279296875,99.0
44,-10.122440338134766,0.002843031659722328,0.017754241824150085,-30.591867446899414,9.999999747378752e-05,225.0,-115.8095474243164,99.0
45,-9.660490036010742,0.0020963111892342567,0.016235308721661568,-30.876928329467773,9.999999747378752e-05,225.0,-108.34297943115234,99.0
46,-8.146220207214355,0.0021350248716771603,0.014846005477011204,-31.635597229003906,9.999999747378752e-05,225.0,-109.19590759277344,99.0
47,-7.497570514678955,0.002300022402778268,0.013576102443039417,-32.08992385864258,9.999999747378752e-05,225.0,-107.4715805053711,98.0
48,-7.330219745635986,0.0022006183862686157,0.012414486147463322,-32.70981216430664,9.999999747378752e-05,225.0,-98.7339096069336,98.0
49,-6.272271633148193,0.0023385740350931883,0.011353290639817715,-34.141693115234375,9.999999747378752e-05,225.0,-95.74925231933594,98.0
50,-5.942781925201416,0.002052847295999527,0.010382816195487976,-33.301326751708984,9.999999747378752e-05,225.0,-97.87039947509766,99.0
51,-4.5481276512146,0.002207454526796937,0.009496049024164677,-33.311153411865234,9.999999747378752e-05,225.0,-89.79725646972656,99.0
52,-4.3315043449401855,0.0012620895868167281,0.008685726672410965,-33.88496398925781,9.999999747378752e-05,225.0,-87.46405029296875,99.0
53,-3.7803220748901367,0.0017690489767119288,0.007946260273456573,-33.75771713256836,9.999999747378752e-05,225.0,-85.13611602783203,99.0
54,-3.178281784057617,0.0017094193026423454,0.0072706700302660465,-35.33098602294922,9.999999747378752e-05,225.0,-83.9660415649414,99.0
55,-3.0379531383514404,0.0012090853415429592,0.006654260214418173,-35.19111633300781,9.999999747378752e-05,225.0,-80.80781555175781,99.0
56,-2.3326470851898193,0.0010800088057294488,0.00608976511284709,-34.622100830078125,9.999999747378752e-05,225.0,-81.74664306640625,98.0
57,-2.067404270172119,0.0009289977606385946,0.005573096219450235,-35.278682708740234,9.999999747378752e-05,225.0,-83.44145965576172,98.0
