,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/success rate
0,167.0,-2.7885382175445557,0.042091742157936096,0.9902103543281555,-0.03288084641098976,9.999999747378752e-05,50.0,-3402.998779296875,0.0,0.0
1,126.0,-3.884392499923706,0.1711423248052597,0.9705856442451477,-0.09962907433509827,9.999999747378752e-05,50.0,-2402.928955078125,0.0,0.0
2,93.0,-4.770418643951416,0.4546380341053009,0.951371431350708,-0.16556832194328308,9.999999747378752e-05,50.0,-3402.83056640625,0.0,0.0
3,96.0,-5.805287837982178,0.1025136411190033,0.9325364232063293,-0.2376876026391983,9.999999747378752e-05,50.0,-1604.44921875,0.0,0.0
4,85.0,-6.67504358291626,1.2681529521942139,0.9141048192977905,-0.2980983555316925,9.999999747378752e-05,50.0,-1101.375,0.10000000149011612,0.0
5,87.0,-7.533898830413818,1.4516611099243164,0.8960318565368652,-0.37180784344673157,9.999999747378752e-05,50.0,-203.1142120361328,0.0,0.0
6,89.0,-8.391173362731934,0.9955873489379883,0.8782963752746582,-0.42913779616355896,9.999999747378752e-05,50.0,-1102.29296875,0.0,0.0
7,85.0,-9.238496780395508,2.1792831420898438,0.86095130443573,-0.5069560408592224,9.999999747378752e-05,50.0,-1203.996826171875,0.0,0.0
8,87.0,-9.73342227935791,1.6417357921600342,0.8439900875091553,-0.5557038187980652,9.999999747378752e-05,50.0,-103.75221252441406,0.0,0.0
9,83.0,-10.2988862991333,1.7904095649719238,0.82735276222229,-0.6085754036903381,9.999999747378752e-05,50.0,96.20573425292969,0.0,0.0
10,84.0,-11.293134689331055,0.1988099217414856,0.811028003692627,-0.703409731388092,9.999999747378752e-05,50.0,-703.8278198242188,0.0,0.0
11,86.0,-11.90195369720459,4.4335784912109375,0.7950913310050964,-0.741419792175293,9.999999747378752e-05,50.0,95.57476806640625,0.0,0.0
12,84.0,-12.548237800598145,7.149075031280518,0.779453456401825,-0.8095698356628418,9.999999747378752e-05,50.0,-404.07183837890625,0.0,0.0
13,85.0,-13.013891220092773,0.21626970171928406,0.7641438841819763,-0.8908727765083313,9.999999747378752e-05,50.0,-505.3702087402344,0.0,0.0
14,83.0,-13.342649459838867,2.599506378173828,0.7491582632064819,-0.9545800685882568,9.999999747378752e-05,50.0,95.12710571289062,0.0,0.0
15,84.0,-13.739493370056152,3.9180445671081543,0.7344481945037842,-0.987115740776062,9.999999747378752e-05,50.0,95.07209777832031,0.0,0.0
16,85.0,-14.580883026123047,0.3138439357280731,0.7200297713279724,-1.0873507261276245,9.999999747378752e-05,50.0,94.6547622680664,0.0,0.014705882407724857
17,83.0,-14.868075370788574,3.574101209640503,0.7058541178703308,-1.155272364616394,9.999999747378752e-05,50.0,94.9655990600586,0.0,0.02777777798473835
18,84.0,-15.646822929382324,0.24312111735343933,0.6919581294059753,-1.208186149597168,9.999999747378752e-05,50.0,94.4481201171875,0.0,0.02631578966975212
19,83.0,-15.44061279296875,7.664078712463379,0.6783679127693176,-1.2429412603378296,9.999999747378752e-05,50.0,94.26248168945312,0.0,0.02500000037252903
20,84.0,-16.231414794921875,5.212180137634277,0.665044903755188,-1.353373408317566,9.999999747378752e-05,50.0,94.5692138671875,0.0,0.02380952425301075
21,84.0,-16.237268447875977,0.3656299114227295,0.652043342590332,-1.3853048086166382,9.999999747378752e-05,50.0,94.56442260742188,0.0,0.022727273404598236
