,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/success rate
0,180.0,-2.900085926055908,0.050219498574733734,0.990219235420227,-0.033411163836717606,9.999999747378752e-05,50.0,-4253.1572265625,0.0,0.0
1,135.0,-3.8115553855895996,0.44006872177124023,0.9706013798713684,-0.0993514358997345,9.999999747378752e-05,50.0,1598.997802734375,0.10000000149011612,0.0
2,97.0,-4.897805213928223,0.5834282636642456,0.9514038562774658,-0.16849178075790405,9.999999747378752e-05,50.0,-2451.56494140625,0.0,0.0
3,100.0,-5.818358421325684,0.8347957134246826,0.9325957894325256,-0.2337190955877304,9.999999747378752e-05,50.0,-354.2317810058594,0.0,0.0
4,90.0,-6.529877662658691,1.3078011274337769,0.9141718149185181,-0.29883119463920593,9.999999747378752e-05,50.0,-852.2105712890625,0.0,0.0
5,92.0,-7.50213098526001,0.11527173221111298,0.8961203098297119,-0.36314117908477783,9.999999747378752e-05,50.0,-54.08869171142578,0.0,0.0
6,94.0,-8.455131530761719,1.0397694110870361,0.878424882888794,-0.4265844523906708,9.999999747378752e-05,50.0,-853.2060546875,0.0,0.0
7,90.0,-8.880691528320312,0.21013641357421875,0.8610825538635254,-0.5088402628898621,9.999999747378752e-05,50.0,1296.490234375,0.10000000149011612,0.0
8,91.0,-10.064167022705078,1.7614216804504395,0.8440959453582764,-0.5692445039749146,9.999999747378752e-05,50.0,-754.1588134765625,0.0,0.0
9,89.0,-10.462648391723633,1.7917613983154297,0.827446699142456,-0.6405844688415527,9.999999747378752e-05,50.0,-3154.366455078125,0.0,0.0
10,90.0,-11.08230209350586,2.431163787841797,0.8111622333526611,-0.7097184658050537,9.999999747378752e-05,50.0,-753.7718505859375,0.0,0.0
11,91.0,-11.894718170166016,2.6483006477355957,0.7951482534408569,-0.744623064994812,9.999999747378752e-05,50.0,-453.76043701171875,0.0,0.0
12,89.0,-12.311895370483398,2.5583457946777344,0.7794837951660156,-0.8254423141479492,9.999999747378752e-05,50.0,-1455.2073974609375,0.0,0.0
13,90.0,-13.094226837158203,6.251797199249268,0.7641358971595764,-0.8932650089263916,9.999999747378752e-05,50.0,-1054.6009521484375,0.0,0.0
14,88.0,-13.62100887298584,0.27165108919143677,0.7491069436073303,-0.9495246410369873,9.999999747378752e-05,50.0,-1453.830078125,0.0,0.0
15,90.0,-14.111254692077637,0.20827257633209229,0.7343657612800598,-1.016793131828308,9.999999747378752e-05,50.0,-855.3425903320312,0.0,0.0
16,90.0,-14.516934394836426,0.2141377031803131,0.7199479937553406,-1.0985528230667114,9.999999747378752e-05,50.0,-655.1547241210938,0.0,0.0
17,89.0,-14.69649600982666,0.22332459688186646,0.7057950496673584,-1.1463121175765991,9.999999747378752e-05,50.0,-555.2200317382812,0.0,0.0
18,90.0,-15.247197151184082,0.16516105830669403,0.6919403672218323,-1.2101917266845703,9.999999747378752e-05,50.0,-1555.3975830078125,0.0,0.0
19,88.0,-15.624670028686523,4.417423248291016,0.6783729195594788,-1.2735395431518555,9.999999747378752e-05,50.0,-55.30907440185547,0.0,0.0
20,89.0,-15.791176795959473,0.4065871238708496,0.6649993062019348,-1.3388718366622925,9.999999747378752e-05,50.0,-255.1019744873047,0.0,0.0
21,90.0,-16.214426040649414,4.563303470611572,0.6518645286560059,-1.3626972436904907,9.999999747378752e-05,50.0,-1354.6036376953125,0.0,0.0
22,88.0,-16.48212432861328,5.910528182983398,0.6390247941017151,-1.4464067220687866,9.999999747378752e-05,50.0,-56.25507736206055,0.0,0.0
23,89.0,-16.775707244873047,5.139566421508789,0.6264594793319702,-1.5013463497161865,9.999999747378752e-05,50.0,-56.22077560424805,0.0,0.0
24,88.0,-16.766996383666992,5.0730390548706055,0.6141504049301147,-1.5421687364578247,9.999999747378752e-05,50.0,-56.06243133544922,0.0,0.0
25,89.0,-17.034772872924805,0.3943926990032196,0.6020663380622864,-1.6216055154800415,9.999999747378752e-05,50.0,-56.21014404296875,0.0,0.0
26,89.0,-17.523902893066406,0.20080281794071198,0.5901994109153748,-1.68661630153656,9.999999747378752e-05,50.0,-56.376564025878906,0.0,0.0
27,89.0,-17.629919052124023,10.900318145751953,0.5785810351371765,-1.751268982887268,9.999999747378752e-05,50.0,-56.49934005737305,0.0,0.0
