,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
0,-27.220108032226562,0.0,150.0,-4.641082763671875,0.1448831856250763,0.9851477742195129,-0.0753946304321289,9.999999747378752e-05,100.0,-33.74063491821289,0.0,100.0
1,-27.92203712463379,0.0,109.0,-7.507895469665527,0.3287525773048401,0.9464977979660034,-0.27715471386909485,9.999999747378752e-05,100.0,-29.241363525390625,0.0,100.0
2,-28.276430130004883,0.0,85.0,-10.181419372558594,0.6295351982116699,0.90938800573349,-0.47858119010925293,9.999999747378752e-05,100.0,-21.084081649780273,0.0,100.0
3,-27.421632766723633,0.0,86.0,-12.665278434753418,0.9242440462112427,0.8737382888793945,-0.6793637871742249,9.999999747378752e-05,100.0,-27.761085510253906,0.0,100.0
4,-26.809059143066406,0.0,79.0,-15.005081176757812,1.4222666025161743,0.8394693732261658,-0.8813741207122803,9.999999747378752e-05,100.0,-29.506855010986328,0.0,100.0
5,-25.412073135375977,0.0,81.0,-17.179603576660156,1.5606595277786255,0.8065890669822693,-1.080955147743225,9.999999747378752e-05,100.0,-21.02326202392578,0.0,100.0
6,-24.965486526489258,0.0,82.0,-19.122352600097656,1.9812239408493042,0.7750172019004822,-1.2778825759887695,9.999999747378752e-05,100.0,-22.414087295532227,0.0,100.0
7,-24.584796905517578,0.0,78.0,-20.910400390625,1.9306938648223877,0.7447414398193359,-1.4724552631378174,9.999999747378752e-05,100.0,-21.631267547607422,0.0,100.0
8,-24.314908981323242,0.0,79.0,-22.531719207763672,2.032191514968872,0.715652585029602,-1.6717392206192017,9.999999747378752e-05,100.0,-20.624588012695312,0.0,100.0
9,-24.49243927001953,0.0,76.0,-23.960315704345703,2.270202398300171,0.6876784563064575,-1.8724045753479004,9.999999747378752e-05,100.0,-19.797576904296875,0.0,100.0
10,-25.88241195678711,0.0,77.0,-25.110349655151367,2.784313201904297,0.6607080101966858,-2.081707239151001,9.999999747378752e-05,100.0,-20.151716232299805,0.0,100.0
11,-26.39223861694336,0.0,78.0,-26.141857147216797,2.864550828933716,0.6347545981407166,-2.282412052154541,9.999999747378752e-05,100.0,-18.932031631469727,0.0,100.0
12,-26.450180053710938,0.0,76.0,-27.024682998657227,2.9242706298828125,0.6098200082778931,-2.485887289047241,9.999999747378752e-05,100.0,-20.248332977294922,0.0,100.0
13,-26.184053421020508,0.0,77.0,-27.824033737182617,3.551961660385132,0.5858509540557861,-2.694671154022217,9.999999747378752e-05,100.0,-24.83039665222168,0.0,100.0
14,-26.143320083618164,0.0,75.0,-28.536893844604492,3.123356819152832,0.5628364086151123,-2.8942949771881104,9.999999747378752e-05,100.0,-19.549467086791992,0.0,100.0
15,-25.80420684814453,0.0,76.0,-29.211605072021484,3.670902729034424,0.5407385230064392,-3.0971150398254395,9.999999747378752e-05,100.0,-18.061309814453125,0.0,100.0
16,-25.367124557495117,0.0,76.0,-29.622468948364258,3.2614152431488037,0.5195373296737671,-3.2923333644866943,9.999999747378752e-05,100.0,-16.73162269592285,0.0,100.0
17,-25.32408905029297,0.0,75.0,-30.006004333496094,3.326429605484009,0.4991704821586609,-3.4923808574676514,9.999999747378752e-05,100.0,-22.461320877075195,0.0,100.0
18,-25.110387802124023,0.0,76.0,-30.31934928894043,3.79988956451416,0.47962847352027893,-3.6882448196411133,9.999999747378752e-05,100.0,-21.44251823425293,0.0,100.0
19,-25.079158782958984,0.0,74.0,-30.517404556274414,3.3899013996124268,0.46085524559020996,-3.8842592239379883,9.999999747378752e-05,100.0,-25.73216438293457,0.0,100.0
