index,dist_bottom,dist_entrance,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.11192474549986356,0.09325986304235062,0.0,6.0,5.780038708466914,"[-4.651717080462752, -4.099515681607929, -2.7122978829549447, -2.5308979449814095, -5.96377352128965, -2.821044342398261, -2.741968336360572, 96.12686370866776, 95.29241099102826, -2.7774039606626126]",6.0,0.0,0.0,20.0,2021-09-04 13:27:40.018201
1,0.1750013590657423,0.2246170219983476,1.0,6.0,3.4343625432621856,"[-2.8237931924081336, -15.102463462866831, -3.342775153858143, -3.1403428725635436, -2.7072748115979617, 96.03350989756291, -3.448323297465219, -2.5351354016791516, 96.72511558526936, -2.6256834316364093]",6.0,0.0,0.1,30.0,2021-09-04 13:27:40.817312
2,0.16535035891389527,0.1823634677233514,2.0,6.0,3.9000633502710227,"[-6.361940389354333, 96.76202714932253, -3.550854576605962, 96.13345146121279, -1.912422723140857, -6.327942662882764, -3.145897262639421, -2.6716273003789066, 97.27479097024282, -3.4575061607316973]",6.0,0.0,0.0,40.0,2021-09-04 13:27:41.622363
3,0.12725324901794835,0.17768580675014528,3.0,6.0,3.8798303513768557,"[-2.7651532591398293, -4.473127817022695, -2.281204785554901, -2.623110067800393, -2.493589495045479, 96.28276034258853, -4.746566032642316, -3.521269279546162, -2.7334232747885077, -3.0029011832902475]",6.0,0.0,0.0,50.0,2021-09-04 13:27:42.431152
4,0.1640034278413617,0.21559628932922162,4.0,6.0,2.9918032031632733,"[-2.663436208544518, -2.694958569570808, 96.61693111185588, -5.111028382556304, -2.7637105758069755, -3.261924859211055, -2.5971220558807167, -2.397899688350991, -3.24910864323787, -5.3318879369502366]",6.0,0.0,0.0,60.0,2021-09-04 13:27:43.229655
5,0.21827607340811592,0.2594287185440462,5.0,6.0,2.3180986430652744,"[-3.261118887046613, -3.47407475242945, -2.7266266307094935, -4.792769597067128, -3.701173725884866, -3.2572106943331725, -3.4671996360133552, 95.79544844547229, -3.221801659240884, -2.853888156782745]",6.0,0.0,0.0,70.0,2021-09-04 13:27:44.057098
6,0.10844126242576689,0.1525429699991531,6.0,6.0,4.249596383809911,"[-2.355376620760605, -2.7339598107067906, -2.6794398879105845, -4.097522443538975, -2.440128129301869, 96.57707071707557, -3.899212897714379, -2.7040885609584233, -3.5457568744104266, -2.924921578917398]",6.0,0.0,0.0,80.0,2021-09-04 13:27:44.851208
7,0.17923928101435807,0.23207187152869485,7.0,6.0,2.824771406199047,"[-4.475026269780868, -3.086376331880068, -2.5618023941544243, -6.451393994812146, -2.911938547711109, -2.9137753306641705, -3.6037218612556297, -2.75715696250814, -2.632496551383336, -2.4969204884202996]",6.0,0.0,0.0,90.0,2021-09-04 13:27:45.646378
8,0.14581131212528423,0.19548517914605,8.0,6.0,3.5515555480618204,"[-2.6122678547228166, -2.9426277580287747, -2.7130475656926323, -4.632891741862109, -4.4667752223558645, -2.605415221756695, -4.3610261441864955, -3.626421596589287, -5.845546328858762, -3.9405746227503995]",6.0,0.0,0.0,100.0,2021-09-04 13:27:46.434728
9,0.11031599339551892,0.14448970581583087,9.0,6.0,4.3221904613032605,"[97.09058947813652, -3.261194927994988, -3.796048343762018, 94.05397217649895, 94.58739086163511, -6.31623217351674, -5.083228889764629, -2.778894522496728, -6.737267063857917, 95.86536158700054]",6.0,0.0,0.0,110.0,2021-09-04 13:27:47.227054
