,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
0,-2.086158275604248,315.0356750488281,0.9900737404823303,-0.1340145319700241,9.999999747378752e-05,44.0,26.390029907226562,132.0
1,4.426839828491211,137.3321990966797,0.9517182111740112,-0.6256213188171387,9.999999747378752e-05,45.0,-107.34603118896484,82.0
2,-6.73772668838501,240.78851318359375,0.8819930553436279,-1.4818007946014404,9.999999747378752e-05,200.0,4749.0341796875,78.0
3,-25.084524154663086,212.23829650878906,0.8319438695907593,-2.1800339221954346,9.999999747378752e-05,200.0,106.43705749511719,81.0
4,-35.7961540222168,249.11875915527344,0.7994928956031799,-2.6685845851898193,9.999999747378752e-05,,,76.0
5,-43.356170654296875,331.9871826171875,0.7529563307762146,-3.3916141986846924,9.999999747378752e-05,,,77.0
6,-47.20539474487305,333.9224853515625,0.7382506132125854,-3.5248701572418213,9.999999747378752e-05,,,79.0
7,-63.24264907836914,298.7440490722656,0.6851247549057007,-3.988053560256958,9.999999747378752e-05,,,75.0
8,-74.4631576538086,311.6962585449219,0.6601402163505554,-4.339747905731201,9.999999747378752e-05,,,78.0
9,-82.67713165283203,399.2048645019531,0.6230593919754028,-5.01155948638916,9.999999747378752e-05,,,76.0
10,-86.32980346679688,431.7221984863281,0.577689528465271,-5.043152332305908,9.999999747378752e-05,,,76.0
11,-106.23626708984375,471.9546813964844,0.5410464406013489,-4.170063018798828,9.999999747378752e-05,,,74.0
12,-131.41407775878906,490.9943542480469,0.508248507976532,-3.941868305206299,9.999999747378752e-05,,,73.0
13,-143.59690856933594,497.22210693359375,0.492046982049942,-4.355586051940918,9.999999747378752e-05,,,73.0
14,-162.06222534179688,516.1453857421875,0.4668065905570984,-4.8240814208984375,9.999999747378752e-05,,,73.0
15,-174.2567138671875,514.03759765625,0.43958938121795654,-5.836490154266357,9.999999747378752e-05,,,73.0
16,-178.10951232910156,512.102294921875,0.43052566051483154,-6.010671615600586,9.999999747378752e-05,,,73.0
