,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-64.40833282470703,225.0,0.7162454724311829,0.018887927755713463,9.999999747378752e-05,225.0,-55.89744567871094,225.0
1,-63.44775390625,191.0,1.1448702812194824,0.025125231593847275,9.999999747378752e-05,225.0,-55.65721893310547,225.0
2,-63.19452667236328,171.0,1.5878887176513672,0.026243124157190323,9.999999747378752e-05,225.0,-56.57847213745117,225.0
3,-63.30671691894531,156.0,1.8050931692123413,0.036598168313503265,9.999999747378752e-05,225.0,-53.293094635009766,225.0
4,-63.35935974121094,143.0,2.1399295330047607,0.02782125398516655,9.999999747378752e-05,225.0,-59.141353607177734,225.0
5,-64.04141998291016,132.0,2.503419876098633,0.03607099503278732,9.999999747378752e-05,225.0,-56.40238571166992,225.0
6,-64.4496078491211,123.0,3.0285024642944336,0.05452974513173103,9.999999747378752e-05,225.0,-56.058807373046875,225.0
7,-64.65585327148438,114.0,3.5298244953155518,0.08857312798500061,9.999999747378752e-05,225.0,-55.65961456298828,225.0
8,-64.77506256103516,107.0,4.232553482055664,0.05867679789662361,9.999999747378752e-05,225.0,-58.46525192260742,225.0
9,-64.86724853515625,101.0,4.741591453552246,0.0640423372387886,9.999999747378752e-05,225.0,-59.72740936279297,225.0
10,-64.8641586303711,96.0,5.377265930175781,0.06938381493091583,9.999999747378752e-05,225.0,-59.87607955932617,225.0
11,-64.91654968261719,91.0,5.81082010269165,0.2564640939235687,9.999999747378752e-05,225.0,-55.31483840942383,225.0
12,-65.04625701904297,86.0,6.230053424835205,0.3174703121185303,9.999999747378752e-05,225.0,-58.114566802978516,225.0
13,-65.00012969970703,82.0,6.203880310058594,0.10840444266796112,9.999999747378752e-05,225.0,-56.7518424987793,225.0
14,-64.87814331054688,78.0,6.541397571563721,0.2004840075969696,9.999999747378752e-05,225.0,-53.68319320678711,225.0
15,-64.71136474609375,74.0,6.401463985443115,0.17057298123836517,9.999999747378752e-05,225.0,-60.788761138916016,225.0
16,-64.61895751953125,71.0,7.174036026000977,0.16877397894859314,9.999999747378752e-05,225.0,-58.85110855102539,225.0
17,-64.64065551757812,67.0,7.918409824371338,0.5296823978424072,9.999999747378752e-05,225.0,-57.10259246826172,225.0
18,-64.59504699707031,64.0,8.458938598632812,0.2540706396102905,9.999999747378752e-05,225.0,-52.68708038330078,225.0
19,-64.5198974609375,62.0,9.15381145477295,0.1682022213935852,9.999999747378752e-05,225.0,-53.31305694580078,225.0
20,-64.54300689697266,59.0,9.492891311645508,0.18415583670139313,9.999999747378752e-05,225.0,-55.28911590576172,225.0
21,-64.49935150146484,57.0,10.01667594909668,0.6983174085617065,9.999999747378752e-05,225.0,-54.362586975097656,225.0
22,-64.46947479248047,54.0,10.281723022460938,0.7187618613243103,9.999999747378752e-05,225.0,-54.280487060546875,225.0
23,-64.49088287353516,52.0,11.376992225646973,0.7258475422859192,9.999999747378752e-05,225.0,-57.16678237915039,225.0
24,-64.42254638671875,50.0,11.058310508728027,0.22076192498207092,9.999999747378752e-05,225.0,-58.77350997924805,225.0
25,-64.45193481445312,48.0,11.875130653381348,0.4848567545413971,9.999999747378752e-05,225.0,-55.59705352783203,225.0
26,-64.59459686279297,46.0,12.217207908630371,1.0343704223632812,9.999999747378752e-05,225.0,-54.83698272705078,225.0
27,-64.73617553710938,44.0,12.673605918884277,0.37840840220451355,9.999999747378752e-05,225.0,-56.44392013549805,225.0
28,-64.79071044921875,43.0,13.0979585647583,0.445590615272522,9.999999747378752e-05,225.0,-56.2982292175293,225.0
29,-64.85625457763672,41.0,13.241808891296387,0.7263011336326599,9.999999747378752e-05,225.0,-55.275291442871094,225.0
30,-64.7509994506836,40.0,14.252538681030273,0.43924134969711304,9.999999747378752e-05,225.0,-57.274452209472656,225.0
31,-64.6453628540039,39.0,14.379131317138672,0.29189860820770264,9.999999747378752e-05,225.0,-56.15776443481445,225.0
32,-64.48175048828125,38.0,14.867104530334473,0.5012333989143372,9.999999747378752e-05,225.0,-54.01675796508789,225.0
33,-64.41959381103516,37.0,15.173673629760742,0.3352612257003784,9.999999747378752e-05,225.0,-58.41787338256836,225.0
34,-64.3588638305664,35.0,15.887818336486816,0.43504995107650757,9.999999747378752e-05,225.0,-57.88722229003906,225.0
35,-64.28340911865234,34.0,16.484580993652344,0.52325838804245,9.999999747378752e-05,225.0,-56.783931732177734,225.0
36,-64.25201416015625,33.0,16.821802139282227,0.32767876982688904,9.999999747378752e-05,225.0,-56.88663864135742,225.0
37,-64.18545532226562,33.0,17.432409286499023,0.5178573131561279,9.999999747378752e-05,225.0,-55.19504165649414,225.0
38,-64.24586486816406,32.0,17.035017013549805,4.664733409881592,9.999999747378752e-05,225.0,-57.38788604736328,225.0
39,-64.23750305175781,31.0,17.768667221069336,0.35165244340896606,9.999999747378752e-05,225.0,-59.92038345336914,225.0
40,-64.27011108398438,30.0,18.483854293823242,0.8328593969345093,9.999999747378752e-05,225.0,-58.734375,225.0
41,-64.20149993896484,30.0,18.864850997924805,0.6162950396537781,9.999999747378752e-05,225.0,-56.017696380615234,225.0
42,-64.11309051513672,29.0,19.368946075439453,0.33471566438674927,9.999999747378752e-05,225.0,-58.70950698852539,225.0
43,-64.11768341064453,28.0,19.359907150268555,0.44120773673057556,9.999999747378752e-05,225.0,-54.26318359375,225.0
44,-64.13287353515625,28.0,19.983203887939453,0.41639038920402527,9.999999747378752e-05,225.0,-55.649173736572266,225.0
