,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
0,-43.91035842895508,0.0,249.0,0.4044933319091797,0.06609567254781723,9.999999747378752e-05,100.0,-52.586524963378906,0.0,100.0
1,-53.20626449584961,0.0,203.0,1.0207841396331787,0.02260919287800789,9.999999747378752e-05,100.0,-54.750732421875,0.0,100.0
2,-55.88916015625,0.0,150.0,1.51300048828125,0.044347137212753296,9.999999747378752e-05,100.0,-54.747833251953125,0.0,100.0
3,-58.04872512817383,0.0,155.0,2.038395643234253,0.08824717998504639,9.999999747378752e-05,100.0,-54.75173568725586,0.0,100.0
4,-57.27834701538086,0.0,139.0,2.4845473766326904,0.11858783662319183,9.999999747378752e-05,100.0,-34.709896087646484,0.0,100.0
5,-56.76382064819336,0.0,144.0,2.985753059387207,0.1516096591949463,9.999999747378752e-05,100.0,-31.082801818847656,0.0,100.0
6,-56.36653518676758,0.0,148.0,3.460444688796997,0.2253061830997467,9.999999747378752e-05,100.0,-47.98967361450195,0.0,100.0
7,-56.04651641845703,0.0,140.0,3.9837021827697754,0.25074324011802673,9.999999747378752e-05,100.0,-35.066062927246094,0.0,100.0
8,-55.84488296508789,0.0,142.0,4.457472801208496,0.3278200626373291,9.999999747378752e-05,100.0,-29.133968353271484,0.0,100.0
9,-55.683345794677734,0.0,136.0,4.90626335144043,0.32609128952026367,9.999999747378752e-05,100.0,-27.49688148498535,0.0,100.0
10,-54.13436508178711,0.0,139.0,5.2426629066467285,0.3339231014251709,9.999999747378752e-05,100.0,-26.615175247192383,0.0,100.0
11,-52.489166259765625,0.0,142.0,5.3962273597717285,0.2933461666107178,9.999999747378752e-05,100.0,-27.033096313476562,0.0,100.0
12,-51.00522232055664,0.0,138.0,5.702182769775391,0.3000164330005646,9.999999747378752e-05,100.0,-26.310640335083008,0.0,100.0
13,-49.496517181396484,0.0,140.0,5.906319618225098,0.2196243852376938,9.999999747378752e-05,100.0,-25.5710506439209,0.0,100.0
14,-48.15766143798828,0.0,136.0,6.100212574005127,0.25096720457077026,9.999999747378752e-05,100.0,-25.833105087280273,0.0,100.0
15,-48.50511169433594,0.0,138.0,6.177262306213379,0.30873051285743713,9.999999747378752e-05,100.0,-25.1556339263916,0.0,100.0
16,-49.02920913696289,0.0,139.0,6.460095405578613,0.19255346059799194,9.999999747378752e-05,100.0,-24.864107131958008,0.0,100.0
17,-48.932865142822266,0.0,136.0,6.650406837463379,0.2146657407283783,9.999999747378752e-05,100.0,-24.741436004638672,0.0,100.0
18,-48.608924865722656,0.0,137.0,6.936617851257324,0.1617070734500885,9.999999747378752e-05,100.0,-24.959331512451172,0.0,100.0
19,-48.041114807128906,0.0,134.0,7.0664286613464355,0.14042311906814575,9.999999747378752e-05,100.0,-25.169729232788086,0.0,100.0
20,-47.355812072753906,0.0,136.0,7.288491249084473,0.11975065618753433,9.999999747378752e-05,100.0,-24.85432243347168,0.0,100.0
21,-46.60886001586914,0.0,138.0,7.381546974182129,0.13153286278247833,9.999999747378752e-05,100.0,-24.902727127075195,0.0,100.0
22,-45.81170654296875,0.0,136.0,7.66552734375,0.09609578549861908,9.999999747378752e-05,100.0,-25.21538734436035,0.0,100.0
23,-45.030235290527344,0.0,137.0,7.8189377784729,0.09232483804225922,9.999999747378752e-05,100.0,-24.653167724609375,0.0,100.0
24,-44.29243850708008,0.0,135.0,7.9359540939331055,0.08752576261758804,9.999999747378752e-05,100.0,-24.876005172729492,0.0,100.0
25,-43.605224609375,0.0,136.0,8.038749694824219,0.08881969004869461,9.999999747378752e-05,100.0,-24.8245906829834,0.0,100.0
26,-42.157936096191406,0.0,137.0,8.16295337677002,0.06349657475948334,9.999999747378752e-05,100.0,-24.892024993896484,0.0,100.0
27,-40.74821853637695,0.0,135.0,8.166913032531738,0.07333040982484818,9.999999747378752e-05,100.0,-24.645410537719727,0.0,100.0
28,-39.25640869140625,0.0,136.0,8.311209678649902,0.10003288835287094,9.999999747378752e-05,100.0,-24.72186851501465,0.0,100.0
29,-38.15460968017578,0.0,135.0,8.441650390625,0.0826769769191742,9.999999747378752e-05,100.0,-24.27070426940918,0.0,100.0
30,-37.04871368408203,0.0,136.0,8.525580406188965,0.0700705498456955,9.999999747378752e-05,100.0,-24.661958694458008,0.0,100.0
31,-35.93282699584961,0.0,137.0,8.647879600524902,0.05579305812716484,9.999999747378752e-05,100.0,-24.43198585510254,0.0,100.0
32,-34.818504333496094,0.0,136.0,8.735641479492188,0.05015925318002701,9.999999747378752e-05,100.0,-24.227632522583008,0.0,100.0
33,-33.685306549072266,0.0,137.0,8.811123847961426,0.0745851919054985,9.999999747378752e-05,100.0,-24.267940521240234,0.0,100.0
34,-32.540496826171875,0.0,135.0,8.870834350585938,0.05485290661454201,9.999999747378752e-05,100.0,-24.498014450073242,0.0,100.0
35,-32.0262336730957,0.0,136.0,9.002179145812988,0.06772085279226303,9.999999747378752e-05,100.0,-24.38164710998535,0.0,100.0
36,-31.664121627807617,0.0,137.0,9.122819900512695,0.057874079793691635,9.999999747378752e-05,100.0,-24.531028747558594,0.0,100.0
37,-31.34076690673828,0.0,136.0,9.202691078186035,0.0632820725440979,9.999999747378752e-05,100.0,-24.302478790283203,0.0,100.0
38,-31.13552474975586,0.0,137.0,9.139076232910156,0.039329707622528076,9.999999747378752e-05,100.0,-24.54892349243164,0.0,100.0
39,-30.94605255126953,0.0,136.0,9.269816398620605,0.040631137788295746,9.999999747378752e-05,100.0,-24.311574935913086,0.0,100.0
40,-29.785703659057617,0.0,136.0,9.321369171142578,0.06244063377380371,9.999999747378752e-05,100.0,-24.496416091918945,0.0,100.0
41,-28.47347640991211,0.0,137.0,9.404520034790039,0.033327989280223846,9.999999747378752e-05,100.0,-24.51711654663086,0.0,100.0
42,-27.56045150756836,0.0,136.0,9.441988945007324,0.03737695515155792,9.999999747378752e-05,100.0,-24.151844024658203,0.0,100.0
43,-26.831661224365234,0.0,137.0,9.542710304260254,0.046874482184648514,9.999999747378752e-05,100.0,-24.1611270904541,0.0,100.0
44,-26.320737838745117,0.0,136.0,9.577438354492188,0.06195787712931633,9.999999747378752e-05,100.0,-24.077741622924805,0.0,100.0
45,-25.960208892822266,0.0,136.0,9.600120544433594,0.03517088666558266,9.999999747378752e-05,100.0,-24.340118408203125,0.0,100.0
46,-25.717464447021484,0.0,137.0,9.619967460632324,0.04222964495420456,9.999999747378752e-05,100.0,-24.029041290283203,0.0,100.0
47,-25.572402954101562,0.0,136.0,9.757211685180664,0.05154741182923317,9.999999747378752e-05,100.0,-24.109819412231445,0.0,100.0
48,-25.49897003173828,0.0,137.0,9.737220764160156,0.054135024547576904,9.999999747378752e-05,100.0,-24.44646644592285,0.0,100.0
