,eval/last_object_to_target,eval/last_success,eval/mean_ep_length,eval/mean_reward,eval/min_object_to_target,eval/success_rate,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/control_cost
0,0.46785464882850647,0.0,200.0,53.706695556640625,0.4667094051837921,0.0,76.0,-0.0064737219363451,0.00023588367912452668,9.999999747378752e-05,212.8507080078125
1,0.48588627576828003,0.0,200.0,8.906280517578125,0.48588627576828003,0.0,77.0,-0.01730831153690815,0.00018514324619900435,9.999999747378752e-05,251.6210174560547
2,0.4858773350715637,0.0,200.0,10.860394477844238,0.4858773350715637,0.0,78.0,-0.044674359261989594,0.0002700895129237324,9.999999747378752e-05,605.2437744140625
3,0.46989500522613525,0.0,200.0,17.79640007019043,0.46989500522613525,0.0,78.0,-0.07929243892431259,0.0004043804365210235,9.999999747378752e-05,613.8563232421875
4,0.43033120036125183,0.0,200.0,38.420654296875,0.43033120036125183,0.0,78.0,-0.11917079985141754,0.0005252648261375725,9.999999747378752e-05,673.5016479492188
5,0.38953444361686707,0.0,200.0,96.711181640625,0.3814504146575928,0.0,78.0,-0.16377797722816467,0.0008032111218199134,9.999999747378752e-05,586.1971435546875
6,0.19971606135368347,0.20000000298023224,200.0,885.79833984375,0.19862987101078033,0.20000000298023224,78.0,-0.2082003951072693,0.0008460028911940753,9.999999747378752e-05,630.808349609375
7,0.19882498681545258,0.0,200.0,671.7293090820312,0.19882498681545258,0.0,78.0,-0.20801855623722076,0.0017965787556022406,9.999999747378752e-05,756.1932983398438
8,0.24445946514606476,0.0,200.0,634.2882690429688,0.24445946514606476,0.0,78.0,-0.23851457238197327,0.0047487178817391396,9.999999747378752e-05,756.6240234375
9,0.25658783316612244,0.0,200.0,614.0984497070312,0.2546364367008209,0.0,78.0,-0.27308735251426697,0.004166611470282078,9.999999747378752e-05,576.6596069335938
10,0.18025334179401398,0.0,200.0,788.7474365234375,0.1733090579509735,0.0,78.0,-0.304094135761261,0.004850168712437153,9.999999747378752e-05,589.5216064453125
11,0.3185161352157593,0.0,200.0,456.6036682128906,0.31572049856185913,0.0,78.0,-0.3343789279460907,0.00601417850703001,9.999999747378752e-05,523.7008666992188
12,0.3301165997982025,0.10000000149011612,200.0,563.2321166992188,0.3295251131057739,0.10000000149011612,78.0,-0.3674603998661041,0.006384158972650766,9.999999747378752e-05,470.5501708984375
13,0.35613757371902466,0.0,200.0,378.58868408203125,0.35613757371902466,0.0,78.0,-0.3932371139526367,0.007448513060808182,9.999999747378752e-05,662.6759643554688
14,0.17856553196907043,0.20000000298023224,200.0,1026.4559326171875,0.17776289582252502,0.20000000298023224,77.0,-0.4263055622577667,0.0070468587800860405,9.999999747378752e-05,441.2330322265625
15,0.30200812220573425,0.20000000298023224,200.0,776.6998291015625,0.30004268884658813,0.20000000298023224,77.0,-0.4618009924888611,0.008274441584944725,9.999999747378752e-05,642.462890625
16,0.35078006982803345,0.30000001192092896,200.0,652.0886840820312,0.34223106503486633,0.30000001192092896,77.0,-0.4944321811199188,0.00740535045042634,9.999999747378752e-05,641.6206665039062
17,0.24249404668807983,0.4000000059604645,200.0,621.8741455078125,0.22381272912025452,0.4000000059604645,76.0,-0.5191385746002197,0.007576001342386007,9.999999747378752e-05,471.99755859375
