,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
0,-13.387591361999512,0.5275195240974426,0.9324778318405151,-0.5887861251831055,9.999999747378752e-05,200.0,-167.38919067382812,151.0
1,-22.9461669921875,2.4468045234680176,0.8607872128486633,-1.257447600364685,9.999999747378752e-05,200.0,-173.7674560546875,126.0
2,-31.89482879638672,0.21262353658676147,0.7946868538856506,-1.9260741472244263,9.999999747378752e-05,200.0,-174.9805450439453,122.0
3,-39.41197204589844,0.7650752663612366,0.7336742877960205,-2.576483726501465,9.999999747378752e-05,200.0,-170.17808532714844,120.0
4,-45.71958541870117,0.6704758405685425,0.6773290038108826,-3.2798283100128174,9.999999747378752e-05,200.0,-170.94252014160156,119.0
5,-51.13677978515625,1.2489570379257202,0.625329315662384,-3.926861524581909,9.999999747378752e-05,200.0,-167.75726318359375,121.0
6,-54.1249885559082,3.7607035636901855,0.5773952007293701,-4.582198143005371,9.999999747378752e-05,200.0,-161.66159057617188,120.0
7,-57.024784088134766,0.5721340179443359,0.5330837965011597,-5.195070743560791,9.999999747378752e-05,200.0,-163.00045776367188,120.0
8,-59.13269805908203,0.81272292137146,0.4921514689922333,-5.874409198760986,9.999999747378752e-05,200.0,-163.94223022460938,118.0
9,-62.54331970214844,1.4966135025024414,0.45436444878578186,-6.555003643035889,9.999999747378752e-05,200.0,-161.252197265625,118.0
10,-62.50191116333008,1.107017993927002,0.4195004105567932,-7.254837512969971,9.999999747378752e-05,200.0,-158.17807006835938,119.0
11,-64.43973541259766,0.5778553485870361,0.3873184621334076,-7.787648677825928,9.999999747378752e-05,200.0,-166.37774658203125,119.0
12,-64.6020278930664,0.42124465107917786,0.3576108515262604,-8.476003646850586,9.999999747378752e-05,200.0,-161.78512573242188,118.0
13,-64.52877044677734,0.5556604862213135,0.33018672466278076,-9.137115478515625,9.999999747378752e-05,200.0,-161.5089874267578,117.0
14,-62.98756790161133,0.4122697710990906,0.3048620820045471,-9.759138107299805,9.999999747378752e-05,200.0,-158.9125213623047,117.0
15,-61.294822692871094,0.45262253284454346,0.2814805805683136,-10.310384750366211,9.999999747378752e-05,200.0,-160.94158935546875,118.0
16,-61.29349136352539,0.2670110762119293,0.2598811388015747,-11.034546852111816,9.999999747378752e-05,200.0,-160.44772338867188,117.0
17,-60.05488204956055,0.17355205118656158,0.23992948234081268,-11.60380744934082,9.999999747378752e-05,200.0,-157.5255126953125,117.0
18,-55.85972595214844,0.172042116522789,0.22149808704853058,-12.35483455657959,9.999999747378752e-05,200.0,-153.17921447753906,117.0
19,-58.6805419921875,0.16347822546958923,0.20449145138263702,-12.983381271362305,9.999999747378752e-05,200.0,-153.80783081054688,117.0
20,-54.32843780517578,0.11731453239917755,0.18879973888397217,-13.621809005737305,9.999999747378752e-05,200.0,-149.3433837890625,117.0
21,-51.36246109008789,0.10362395644187927,0.17431172728538513,-14.161508560180664,9.999999747378752e-05,200.0,-151.24075317382812,117.0
22,-51.49237060546875,0.06219353899359703,0.16092504560947418,-14.806684494018555,9.999999747378752e-05,200.0,-151.7992401123047,117.0
23,-48.21150207519531,0.06671053171157837,0.14856387674808502,-15.454983711242676,9.999999747378752e-05,200.0,-145.24591064453125,116.0
24,-47.479248046875,0.06453923881053925,0.13715247809886932,-16.15996551513672,9.999999747378752e-05,200.0,-148.48965454101562,115.0
25,-45.315765380859375,0.047850560396909714,0.1266172230243683,-16.735727310180664,9.999999747378752e-05,200.0,-150.69432067871094,115.0
26,-41.70907974243164,0.04445648193359375,0.11689143627882004,-17.414152145385742,9.999999747378752e-05,200.0,-150.61746215820312,115.0
27,-40.4944953918457,0.03405258059501648,0.10791837424039841,-17.75701332092285,9.999999747378752e-05,200.0,-152.6501007080078,114.0
28,-41.291751861572266,0.030099302530288696,0.09963362663984299,-18.65732192993164,9.999999747378752e-05,200.0,-142.67527770996094,113.0
29,-37.7097053527832,0.029691092669963837,0.09198299795389175,-19.214752197265625,9.999999747378752e-05,200.0,-141.1418914794922,113.0
30,-36.09576416015625,0.02221342734992504,0.08491556346416473,-19.93718147277832,9.999999747378752e-05,200.0,-143.58848571777344,113.0
31,-31.83737564086914,0.01980544626712799,0.07839254289865494,-20.6898136138916,9.999999747378752e-05,200.0,-141.88772583007812,113.0
32,-32.01463317871094,0.01918109878897667,0.07237082719802856,-21.392274856567383,9.999999747378752e-05,200.0,-142.72894287109375,112.0
33,-28.046520233154297,0.01776067353785038,0.06681021302938461,-21.702098846435547,9.999999747378752e-05,200.0,-141.4005126953125,112.0
34,-27.92988395690918,0.013122214935719967,0.06167750433087349,-22.557947158813477,9.999999747378752e-05,200.0,-137.1000213623047,111.0
35,-27.149723052978516,0.011985160410404205,0.05693831294775009,-22.955230712890625,9.999999747378752e-05,200.0,-137.19113159179688,112.0
36,-22.47644805908203,0.01124863512814045,0.052563801407814026,-23.805145263671875,9.999999747378752e-05,200.0,-131.36441040039062,112.0
37,-23.777738571166992,0.011253761127591133,0.048526834696531296,-24.570629119873047,9.999999747378752e-05,200.0,-128.0972900390625,111.0
38,-21.768539428710938,0.00752598512917757,0.04480103403329849,-25.010711669921875,9.999999747378752e-05,200.0,-128.910400390625,111.0
39,-19.302675247192383,0.007113869301974773,0.041361428797245026,-26.06519317626953,9.999999747378752e-05,200.0,-120.3049545288086,110.0
40,-17.987850189208984,0.006627247203141451,0.03818729892373085,-26.1346378326416,9.999999747378752e-05,200.0,-121.3590087890625,111.0
41,-17.81227684020996,0.007482126355171204,0.035256221890449524,-26.76144027709961,9.999999747378752e-05,200.0,-118.2088394165039,111.0
42,-16.30476951599121,0.0065551260486245155,0.03255016729235649,-27.14023208618164,9.999999747378752e-05,200.0,-125.89076232910156,110.0
43,-15.214244842529297,0.004577526822686195,0.030052313581109047,-27.98954200744629,9.999999747378752e-05,200.0,-120.45767974853516,110.0
44,-12.810569763183594,0.004232940264046192,0.027746587991714478,-27.99178695678711,9.999999747378752e-05,200.0,-105.46199798583984,110.0
45,-11.21551513671875,0.003586351405829191,0.025619108229875565,-28.97603988647461,9.999999747378752e-05,200.0,-111.5988998413086,110.0
