,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
0,0.1010119691491127,0.0029970065224915743,9.999999747378752e-05,200.0,-728.5230712890625,124.0
1,0.1536898910999298,0.0009363998542539775,9.999999747378752e-05,200.0,-667.90185546875,107.0
2,0.19193942844867706,0.0004305427719373256,9.999999747378752e-05,200.0,-732.244140625,91.0
3,0.23803164064884186,0.00043359215487726033,9.999999747378752e-05,200.0,-580.8250122070312,87.0
4,0.2880307137966156,0.0005968020996078849,9.999999747378752e-05,200.0,-635.5340576171875,89.0
5,0.3245430886745453,0.0009046455379575491,9.999999747378752e-05,200.0,-454.2744140625,91.0
6,0.34449851512908936,0.0009969332022592425,9.999999747378752e-05,200.0,-496.6499938964844,92.0
7,0.3481712341308594,0.0010964266257360578,9.999999747378752e-05,200.0,-504.75244140625,92.0
8,0.35582253336906433,0.0009115901193581522,9.999999747378752e-05,200.0,-496.984375,92.0
9,0.37101051211357117,0.0008979897247627378,9.999999747378752e-05,200.0,-609.1976318359375,93.0
10,0.3850715756416321,0.0010395096614956856,9.999999747378752e-05,200.0,-691.01025390625,94.0
11,0.3894663155078888,0.0011386724654585123,9.999999747378752e-05,200.0,-705.8446044921875,94.0
12,0.39738547801971436,0.0010423315688967705,9.999999747378752e-05,200.0,-610.6307373046875,94.0
13,0.40542417764663696,0.000992950052022934,9.999999747378752e-05,200.0,-500.95037841796875,93.0
14,0.4201362431049347,0.0009393301443196833,9.999999747378752e-05,200.0,-505.08172607421875,93.0
15,0.43247443437576294,0.0009571890695951879,9.999999747378752e-05,200.0,-526.1236572265625,94.0
16,0.44202539324760437,0.0010782326571643353,9.999999747378752e-05,200.0,-387.1123046875,94.0
17,0.4536692500114441,0.0010714016389101744,9.999999747378752e-05,200.0,-355.51922607421875,94.0
18,0.47050347924232483,0.0009434132953174412,9.999999747378752e-05,200.0,-343.69158935546875,94.0
19,0.48490315675735474,0.0012675195466727018,9.999999747378752e-05,200.0,-361.29022216796875,94.0
20,0.4988064169883728,0.0013664106372743845,9.999999747378752e-05,200.0,-353.46685791015625,94.0
21,0.5119813084602356,0.0012951683020219207,9.999999747378752e-05,200.0,-372.8727722167969,94.0
22,0.5218467712402344,0.0014218962751328945,9.999999747378752e-05,200.0,-393.6201171875,94.0
23,0.5390462279319763,0.0013527552364394069,9.999999747378752e-05,200.0,-395.61956787109375,94.0
24,0.5515545606613159,0.0014215608825907111,9.999999747378752e-05,200.0,-394.45904541015625,94.0
25,0.5672206878662109,0.001168917748145759,9.999999747378752e-05,200.0,-372.73052978515625,94.0
26,0.5819364786148071,0.0015678470954298973,9.999999747378752e-05,200.0,-364.4073181152344,94.0
27,0.5990794897079468,0.001361575094051659,9.999999747378752e-05,200.0,-395.87310791015625,94.0
28,0.6133319735527039,0.0011786660179495811,9.999999747378752e-05,200.0,-323.7781066894531,94.0
29,0.6280267834663391,0.0012396330712363124,9.999999747378752e-05,200.0,-303.4312438964844,94.0
30,0.641693651676178,0.0013013755669817328,9.999999747378752e-05,200.0,-269.0459289550781,95.0
31,0.6562081575393677,0.0011519192485138774,9.999999747378752e-05,200.0,-274.50537109375,94.0
32,0.6661255359649658,0.001194944023154676,9.999999747378752e-05,200.0,-299.45501708984375,94.0
33,0.6772521734237671,0.001074907835572958,9.999999747378752e-05,200.0,-314.18438720703125,94.0
34,0.6850924491882324,0.0011602367740124464,9.999999747378752e-05,200.0,-325.24249267578125,94.0
