,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/success rate
0,191.0,-2.6959173679351807,0.134470134973526,0.9902240633964539,-0.03328292444348335,9.999999747378752e-05,50.0,-3728.432373046875,0.0,0.0
1,145.0,-3.584416627883911,0.3861164450645447,0.970596969127655,-0.09960763901472092,9.999999747378752e-05,50.0,-3228.84326171875,0.0,0.0
2,107.0,-4.553846836090088,0.49015867710113525,0.9513729214668274,-0.16770042479038239,9.999999747378752e-05,50.0,-2425.03173828125,0.0,0.0
3,110.0,-5.350235462188721,0.7715509533882141,0.9325591921806335,-0.23316806554794312,9.999999747378752e-05,50.0,-1630.645751953125,0.0,0.0
4,98.0,-6.41895866394043,1.0163838863372803,0.9141252040863037,-0.3016251027584076,9.999999747378752e-05,50.0,-1718.0712890625,0.0,0.0
5,100.0,-6.99705171585083,0.17364385724067688,0.8960720300674438,-0.3679836094379425,9.999999747378752e-05,50.0,-2122.2177734375,0.0,0.0
6,103.0,-7.895418643951416,1.0162112712860107,0.8784093856811523,-0.4318418502807617,9.999999747378752e-05,50.0,-2219.0673828125,0.0,0.0
7,96.0,-8.629920959472656,0.1849103569984436,0.8611140847206116,-0.49642059206962585,9.999999747378752e-05,50.0,-923.3078002929688,0.10000000149011612,0.0
8,98.0,-9.476175308227539,1.2058851718902588,0.8441755771636963,-0.5624403357505798,9.999999747378752e-05,50.0,-1826.5634765625,0.0,0.0
9,94.0,-9.760632514953613,1.4881653785705566,0.8275599479675293,-0.6417263746261597,9.999999747378752e-05,50.0,-3225.58251953125,0.0,0.02500000037252903
10,95.0,-10.632612228393555,2.215865135192871,0.8113077282905579,-0.6989957094192505,9.999999747378752e-05,50.0,-2024.1422119140625,0.0,0.04545454680919647
11,97.0,-11.31036376953125,1.9912647008895874,0.7953404188156128,-0.7682174444198608,9.999999747378752e-05,50.0,-823.0455322265625,0.0,0.0416666679084301
12,95.0,-11.541266441345215,2.2501916885375977,0.7797064185142517,-0.7818326950073242,9.999999747378752e-05,50.0,-2331.751220703125,0.0,0.03846153989434242
13,96.0,-12.473088264465332,6.3281707763671875,0.7644293904304504,-0.8506394624710083,9.999999747378752e-05,50.0,-828.0849609375,0.0,0.0357142873108387
14,94.0,-12.838173866271973,0.2845684885978699,0.7494273781776428,-0.9202868342399597,9.999999747378752e-05,50.0,-1429.2479248046875,0.0,0.03333333507180214
15,95.0,-13.299623489379883,0.3798066973686218,0.734714925289154,-0.991615891456604,9.999999747378752e-05,50.0,-1831.2064208984375,0.0,0.03125
16,96.0,-13.694059371948242,0.5011945962905884,0.7203564643859863,-1.0821921825408936,9.999999747378752e-05,50.0,-729.0952758789062,0.0,0.04411764815449715
17,94.0,-13.895757675170898,0.8176751136779785,0.7062202095985413,-1.0804623365402222,9.999999747378752e-05,50.0,1531.9404296875,0.10000000149011612,0.0416666679084301
18,95.0,-14.04952621459961,0.4540441632270813,0.692419171333313,-1.2076386213302612,9.999999747378752e-05,50.0,3537.848388671875,0.10000000149011612,0.03947368264198303
19,93.0,-14.68591022491455,3.623109817504883,0.6788879036903381,-1.2958576679229736,9.999999747378752e-05,50.0,70.08300018310547,0.0,0.03750000149011612
20,94.0,-14.814559936523438,0.39284205436706543,0.6655372381210327,-1.3545610904693604,9.999999747378752e-05,50.0,-528.5830078125,0.0,0.0357142873108387
21,95.0,-15.035981178283691,4.496793746948242,0.6524576544761658,-1.3870904445648193,9.999999747378752e-05,50.0,-1830.292236328125,0.0,0.034090910106897354
22,94.0,-15.28838062286377,3.9254212379455566,0.6396223306655884,-1.3797463178634644,9.999999747378752e-05,50.0,66.11367797851562,0.0,0.032608695328235626
23,94.0,-15.701783180236816,4.668397426605225,0.6270091533660889,-1.4547573328018188,9.999999747378752e-05,50.0,66.57231140136719,0.0,0.03125
24,93.0,-15.600682258605957,5.2543134689331055,0.614611804485321,-1.6140217781066895,9.999999747378752e-05,50.0,64.10365295410156,0.0,0.029999999329447746
25,94.0,-15.831942558288574,0.5338736772537231,0.6025151610374451,-1.6288485527038574,9.999999747378752e-05,50.0,62.67156219482422,0.0,0.029999999329447746
26,95.0,-15.905999183654785,0.5209430456161499,0.5906109809875488,-1.748230218887329,9.999999747378752e-05,50.0,64.34625244140625,0.0,0.029999999329447746
27,94.0,-16.027206420898438,8.434972763061523,0.5789389610290527,-1.7523229122161865,9.999999747378752e-05,50.0,62.00661087036133,0.0,0.029999999329447746
28,94.0,-16.035316467285156,0.5923665761947632,0.5675113201141357,-1.846462607383728,9.999999747378752e-05,50.0,62.857269287109375,0.0,0.029999999329447746
29,93.0,-16.156145095825195,0.5046435594558716,0.5562754273414612,-1.8169655799865723,9.999999747378752e-05,50.0,61.48176193237305,0.0,0.029999999329447746
30,94.0,-15.954018592834473,4.720488548278809,0.5452889800071716,-1.9010204076766968,9.999999747378752e-05,50.0,60.809410095214844,0.0,0.029999999329447746
31,94.0,-16.254623413085938,0.5973811149597168,0.5345420837402344,-1.9747939109802246,9.999999747378752e-05,50.0,62.04790496826172,0.0,0.029999999329447746
32,94.0,-16.562454223632812,0.3443083167076111,0.523984432220459,-2.1434645652770996,9.999999747378752e-05,50.0,61.42033767700195,0.0,0.029999999329447746
33,94.0,-16.181230545043945,5.028712272644043,0.5136837959289551,-2.0970096588134766,9.999999747378752e-05,50.0,62.51813888549805,0.0,0.029999999329447746
34,94.0,-16.347023010253906,0.7009166479110718,0.5036341547966003,-2.1281206607818604,9.999999747378752e-05,50.0,61.89339065551758,0.0,0.019999999552965164
35,94.0,-16.076156616210938,9.634759902954102,0.49377450346946716,-2.1576526165008545,9.999999747378752e-05,50.0,61.18803787231445,0.0,0.009999999776482582
