,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-72.2496109008789,75.0,-16.356962203979492,0.1673472821712494,0.9231762886047363,-0.6712307333946228,9.999999747378752e-05,225.0,-69.48788452148438,225.0
1,-69.6953353881836,67.0,-25.91990089416504,0.30764609575271606,0.8437185883522034,-1.431264042854309,9.999999747378752e-05,225.0,-70.84513092041016,225.0
2,-69.46370697021484,61.0,-33.85335159301758,1.735154628753662,0.7711867094039917,-2.164695978164673,9.999999747378752e-05,225.0,-66.35607147216797,225.0
3,-69.32920837402344,57.0,-39.729637145996094,0.7132320404052734,0.7051504254341125,-2.9073753356933594,9.999999747378752e-05,225.0,-68.18965148925781,225.0
4,-69.58473205566406,55.0,-44.87876510620117,1.4377224445343018,0.644853949546814,-3.6284680366516113,9.999999747378752e-05,225.0,-68.32451629638672,225.0
5,-69.289306640625,53.0,-48.58578109741211,1.85020112991333,0.5896342396736145,-4.358025074005127,9.999999747378752e-05,225.0,-65.9347915649414,225.0
6,-69.27987670898438,51.0,-50.62849044799805,7.612914085388184,0.5391829013824463,-5.038557529449463,9.999999747378752e-05,225.0,-70.28378295898438,225.0
7,-68.64685821533203,48.0,-52.21079635620117,14.949146270751953,0.49317309260368347,-5.727227687835693,9.999999747378752e-05,225.0,-61.441307067871094,225.0
8,-68.8226318359375,46.0,-53.096858978271484,2.03737211227417,0.451205313205719,-6.253439426422119,9.999999747378752e-05,225.0,-64.69821166992188,225.0
9,-68.43460845947266,44.0,-53.893310546875,12.621624946594238,0.4129069745540619,-6.837990760803223,9.999999747378752e-05,225.0,-65.9547348022461,225.0
10,-68.46765899658203,43.0,-54.28208923339844,1.7394897937774658,0.37786054611206055,-7.434856414794922,9.999999747378752e-05,225.0,-68.45702362060547,225.0
11,-68.60807800292969,42.0,-52.8508186340332,3.8174898624420166,0.3457622230052948,-8.075224876403809,9.999999747378752e-05,225.0,-68.5543212890625,225.0
12,-68.75973510742188,40.0,-53.20933151245117,1.633843183517456,0.3163987100124359,-8.624032020568848,9.999999747378752e-05,225.0,-65.80950164794922,225.0
13,-68.52989959716797,39.0,-52.05755615234375,14.326769828796387,0.28954392671585083,-8.989309310913086,9.999999747378752e-05,,,225.0
14,-68.47870635986328,37.0,-49.09356689453125,2.0034804344177246,0.26497066020965576,-9.708572387695312,9.999999747378752e-05,,,225.0
