index,dist_bottom,dist_entrance,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.345207989455388,0.37795893090284,0,0,93.816504550533,"[-15.600666412687557, -93.36363387259794, -93.63410697790044, -92.80791040905682, -92.91576978028033, -93.11075982987256, -92.88795892280298, -93.51760174328406, -94.2732137274626, -93.41368371922186]",0,0,0,20,2021-09-10 16:30:01.816905
1,0.322221270996685,0.351598428458611,1,0,94.6458219815513,"[-92.9405537770882, -95.26151137740533, -93.29795307184312, -93.3847327849345, -93.79132915280037, -93.77765141268634, -73.27795887519626, -94.0237920008713, -93.67356738378723, -73.95296787099471]",0,0,0,30,2021-09-10 16:30:02.647160
2,0.313681046120684,0.336828958748884,2,0,95.1858368828844,"[-94.54887887821381, -53.06149945172479, -95.50284746461037, -95.06013518278861, -94.20398035989109, -94.27416749163253, -94.49313087123275, -93.48152343722835, -93.77281252154653, -94.0010575788436]",0,0,0,40,2021-09-10 16:30:03.460755
3,0.317281953246297,0.328470946055141,3,0,95.3615603451743,"[-94.98056191032983, -94.84589426900234, -94.78833220664082, -93.85932972005067, -94.93810644365725, -95.66009478255211, -94.13130290533833, -95.03802380569923, -94.78449180441929, -94.89208388219804]",0,0,0,50,2021-09-10 16:30:04.278719
4,0.299199823384598,0.293878548422913,4,0,96.428892459493,"[-95.89686267454928, -84.510480699968, -94.32209161407219, -94.82111339529148, -95.39217821399711, -94.21270483362778, -96.9077099614628, -94.44888907295096, -94.19306470703923, -94.23291545138574]",0,0,0,60,2021-09-10 16:30:05.096367
5,0.251944848939169,0.246576535899242,5,0,97.0198562314039,"[-97.39249120994403, -94.92040981016483, -97.00524598066521, -83.44457294129418, -95.54577268223714, -96.5709453478523, -95.541448567668, -94.16548016457699, -96.23383084043223, -94.32034714230092]",0,0,0,70,2021-09-10 16:30:05.928992
6,0.291675701865126,0.287884168289016,6,0,96.535931413166,"[-96.79328502619319, -94.13665070043923, -95.75726870560112, -95.38578644299868, -93.4932376589964, -83.58895188520138, -95.22375484375377, -96.15425477165732, -95.83625973402361, -86.28334694933419]",0,0,0,80,2021-09-10 16:30:06.742774
7,0.162878071109585,0.164892526173982,7,0,97.4342701307344,"[-97.56975403847981, -96.35483297619884, -96.40738667338464, -94.97411417966323, -95.8200555784795, -96.99153913618503, -95.5173926513475, -95.16045700350581, -84.651648333654, -96.94248382926824]",0,0,0,90,2021-09-10 16:30:07.557672
8,0.08373753810311,0.048908136296859,8,0,100.686452921808,"[-74.14046196113883, -95.7999349900951, -97.04030818865606, -96.20728271169602, -84.40272924719056, -95.61961573217415, -86.67227478906358, -96.25753555157945, -96.4760890545295, -97.05964803196736]",0,0,0,100,2021-09-10 16:30:08.372302
9,0.076956144613775,0.077600255512642,9,0,100.548489831443,"[-87.35076884537773, -85.66025088837543, -95.59127094079645, -84.930606743035, -86.15683842033496, -96.10031249837911, -96.00603792950727, -96.21775283444845, -100.54123495133231, -98.25632887138806]",0,0,0,110,2021-09-10 16:30:09.201130
