,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-1442.961669921875,164.0,0.7812989354133606,240.19741821289062,0.9900795817375183,-0.016705412417650223,9.999999747378752e-05,100.0,-1674.6466064453125,100.0
1,-1396.7337646484375,121.0,8.739023208618164,139.0915069580078,0.9514046311378479,-0.08050794899463654,9.999999747378752e-05,100.0,-1423.048828125,100.0
2,-1411.232421875,112.0,25.020288467407227,83.62590026855469,0.9158979654312134,-0.13061128556728363,9.999999747378752e-05,100.0,-1355.6812744140625,100.0
3,-1412.206298828125,108.0,40.61094665527344,93.3698959350586,0.8819849491119385,-0.184800922870636,9.999999747378752e-05,100.0,-1377.0626220703125,100.0
4,-1369.193359375,107.0,55.172462463378906,113.06746673583984,0.8475707173347473,-0.26400741934776306,9.999999747378752e-05,100.0,-1112.9022216796875,100.0
5,-1366.7373046875,104.0,67.69090270996094,129.93411254882812,0.8130249977111816,-0.33828818798065186,9.999999747378752e-05,100.0,-1581.4093017578125,100.0
6,-1379.257568359375,103.0,79.46993255615234,152.88330078125,0.7801945209503174,-0.40596234798431396,9.999999747378752e-05,100.0,-1026.994384765625,100.0
7,-1390.22314453125,103.0,90.75010681152344,174.38514709472656,0.7492659687995911,-0.45574164390563965,9.999999747378752e-05,100.0,-1398.5689697265625,100.0
8,-1385.9808349609375,102.0,102.03357696533203,206.1475067138672,0.7205811738967896,-0.5129553079605103,9.999999747378752e-05,100.0,-1439.20458984375,100.0
9,-1388.02734375,102.0,112.8831558227539,203.6427001953125,0.6926084756851196,-0.5788983702659607,9.999999747378752e-05,100.0,-1419.8966064453125,100.0
10,-1395.994140625,102.0,123.76688385009766,235.1850128173828,0.6653203964233398,-0.6564237475395203,9.999999747378752e-05,100.0,-1453.7357177734375,100.0
11,-1385.0218505859375,101.0,134.2236328125,248.28305053710938,0.638842761516571,-0.7215520739555359,9.999999747378752e-05,100.0,-1687.32470703125,100.0
12,-1379.388916015625,100.0,144.2346954345703,293.7425231933594,0.6138380169868469,-0.7673991322517395,9.999999747378752e-05,100.0,-1493.3790283203125,100.0
13,-1380.7647705078125,100.0,153.78306579589844,289.5151062011719,0.5903590321540833,-0.7999869585037231,9.999999747378752e-05,100.0,-1430.2509765625,100.0
14,-1371.9678955078125,100.0,163.43296813964844,363.32684326171875,0.5680489540100098,-0.8409727215766907,9.999999747378752e-05,100.0,-1454.594970703125,100.0
15,-1370.9476318359375,100.0,172.96524047851562,360.64556884765625,0.5466259121894836,-0.8902130126953125,9.999999747378752e-05,100.0,-1363.427001953125,100.0
16,-1366.6446533203125,99.0,182.4381866455078,403.1196594238281,0.5260376930236816,-0.9423983693122864,9.999999747378752e-05,100.0,-1445.814697265625,100.0
17,-1366.9207763671875,99.0,191.51898193359375,402.95587158203125,0.5061078667640686,-0.9743095636367798,9.999999747378752e-05,100.0,-1406.9761962890625,100.0
18,-1364.76708984375,99.0,200.90728759765625,503.0863037109375,0.48687508702278137,-1.0271680355072021,9.999999747378752e-05,100.0,-1305.270751953125,100.0
19,-1369.8365478515625,99.0,209.8671875,483.1311340332031,0.46834832429885864,-1.0699596405029297,9.999999747378752e-05,100.0,-1431.02099609375,100.0
20,-1361.194091796875,99.0,219.36398315429688,558.1161499023438,0.4504070281982422,-1.1286919116973877,9.999999747378752e-05,100.0,-1408.9840087890625,100.0
21,-1362.769287109375,99.0,228.01625061035156,602.9602661132812,0.43306222558021545,-1.1632630825042725,9.999999747378752e-05,100.0,-1472.21728515625,100.0
22,-1361.7952880859375,99.0,236.97544860839844,604.55322265625,0.4165496230125427,-1.2095164060592651,9.999999747378752e-05,100.0,-1435.54541015625,100.0
23,-1358.1646728515625,99.0,245.93991088867188,676.9979248046875,0.4005449414253235,-1.2661418914794922,9.999999747378752e-05,100.0,-1471.5355224609375,100.0
24,-1355.6204833984375,99.0,254.29278564453125,727.0664672851562,0.3851519823074341,-1.2955214977264404,9.999999747378752e-05,100.0,-1389.3018798828125,100.0
