,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
0,-57.230079650878906,0.0,241.0,0.563595175743103,0.035932507365942,9.999999747378752e-05,100.0,-54.51321029663086,0.0,100.0
1,-55.47144317626953,0.0,196.0,1.197265863418579,0.03303037956357002,9.999999747378752e-05,100.0,-54.72764587402344,0.0,100.0
2,-54.83420944213867,0.0,146.0,1.611431360244751,0.052356187254190445,9.999999747378752e-05,100.0,-34.70530319213867,0.0,100.0
3,-54.652069091796875,0.0,150.0,2.015651226043701,0.07067254185676575,9.999999747378752e-05,100.0,-61.91572189331055,0.0,100.0
4,-54.5369758605957,0.0,137.0,2.4435184001922607,0.07716941088438034,9.999999747378752e-05,100.0,-61.916175842285156,0.0,100.0
5,-54.45283508300781,0.0,142.0,2.9277400970458984,0.1388859897851944,9.999999747378752e-05,100.0,-69.8727798461914,0.0,100.0
6,-52.93918991088867,0.0,145.0,3.327629804611206,0.17732447385787964,9.999999747378752e-05,100.0,-64.51594543457031,0.0,100.0
7,-50.59362030029297,0.0,138.0,3.657644033432007,0.1332547515630722,9.999999747378752e-05,100.0,-45.484962463378906,0.0,100.0
8,-49.27692413330078,0.0,141.0,3.9292640686035156,0.1836296021938324,9.999999747378752e-05,100.0,-66.87830352783203,0.0,100.0
9,-50.50102615356445,0.0,137.0,4.163428783416748,0.20339779555797577,9.999999747378752e-05,100.0,-52.21830749511719,0.0,100.0
10,-51.49885177612305,0.0,139.0,4.546350479125977,0.21795755624771118,9.999999747378752e-05,100.0,-39.47126388549805,0.0,100.0
11,-52.31780242919922,0.0,141.0,4.984616279602051,0.26955220103263855,9.999999747378752e-05,100.0,-33.512489318847656,0.0,100.0
12,-53.008575439453125,0.0,137.0,5.392752170562744,0.2431323379278183,9.999999747378752e-05,100.0,-32.80653762817383,0.0,100.0
13,-54.32265853881836,0.0,139.0,5.821980953216553,0.3121454417705536,9.999999747378752e-05,100.0,-32.289798736572266,0.0,100.0
14,-55.193111419677734,0.0,136.0,6.182878017425537,0.34862256050109863,9.999999747378752e-05,100.0,-33.4268913269043,0.0,100.0
15,-56.25374984741211,0.0,137.0,6.5548906326293945,0.35507407784461975,9.999999747378752e-05,100.0,-33.40037155151367,0.0,100.0
16,-57.0098762512207,0.0,139.0,6.982301235198975,0.3740588426589966,9.999999747378752e-05,100.0,-33.2825927734375,0.0,100.0
17,-57.24686813354492,0.0,136.0,7.2317328453063965,0.3308897018432617,9.999999747378752e-05,100.0,-32.32260513305664,0.0,100.0
18,-56.88308334350586,0.0,138.0,7.605984210968018,0.29513436555862427,9.999999747378752e-05,100.0,-32.310272216796875,0.0,100.0
19,-56.46429443359375,0.0,135.0,7.888546466827393,0.2974618077278137,9.999999747378752e-05,100.0,-32.37411880493164,0.0,100.0
20,-55.85720443725586,0.0,136.0,8.233497619628906,0.32755425572395325,9.999999747378752e-05,100.0,-32.36264419555664,0.0,100.0
21,-55.406959533691406,0.0,137.0,8.483741760253906,0.2771807312965393,9.999999747378752e-05,100.0,-34.34891128540039,0.0,100.0
22,-55.865478515625,0.0,135.0,8.784926414489746,0.28205129504203796,9.999999747378752e-05,100.0,-31.99414825439453,0.0,100.0
23,-56.19511413574219,0.0,137.0,9.128138542175293,0.2695111036300659,9.999999747378752e-05,100.0,-31.965845108032227,0.0,100.0
24,-56.16840744018555,0.0,134.0,9.492460250854492,0.29697373509407043,9.999999747378752e-05,100.0,-31.960981369018555,0.0,100.0
25,-55.68224334716797,0.0,135.0,9.782212257385254,0.3663620054721832,9.999999747378752e-05,100.0,-31.6854248046875,0.0,100.0
26,-55.20484161376953,0.0,136.0,9.945804595947266,0.2892320156097412,9.999999747378752e-05,100.0,-31.912628173828125,0.0,100.0
27,-54.59794616699219,0.0,135.0,10.0980863571167,0.29742002487182617,9.999999747378752e-05,100.0,-31.915597915649414,0.0,100.0
28,-53.82863235473633,0.0,136.0,10.471909523010254,0.2552263140678406,9.999999747378752e-05,100.0,-32.68052291870117,0.0,100.0
29,-53.00522994995117,0.0,134.0,10.501811981201172,0.2255045473575592,9.999999747378752e-05,100.0,-32.99415588378906,0.0,100.0
30,-52.14740753173828,0.0,135.0,10.672783851623535,0.2569304406642914,9.999999747378752e-05,100.0,-33.00928497314453,0.0,100.0
31,-51.673370361328125,0.0,136.0,10.87263298034668,0.23018959164619446,9.999999747378752e-05,100.0,-32.97639083862305,0.0,100.0
32,-51.59904861450195,0.0,135.0,10.92879581451416,0.21092550456523895,9.999999747378752e-05,100.0,-33.0986213684082,0.0,100.0
33,-51.32003402709961,0.0,136.0,10.991450309753418,0.1640831083059311,9.999999747378752e-05,100.0,-33.40083312988281,0.0,100.0
34,-50.125423431396484,0.0,134.0,11.184823989868164,0.18567979335784912,9.999999747378752e-05,100.0,-23.928606033325195,0.0,100.0
35,-48.9396858215332,0.0,135.0,11.161544799804688,0.17309167981147766,9.999999747378752e-05,100.0,-24.683563232421875,0.0,100.0
36,-47.803428649902344,0.0,136.0,11.413981437683105,0.13771353662014008,9.999999747378752e-05,100.0,-24.708694458007812,0.0,100.0
37,-46.66184997558594,0.0,135.0,11.484858512878418,0.1748957335948944,9.999999747378752e-05,100.0,-26.13776969909668,0.0,100.0
38,-45.1221923828125,0.0,135.0,11.72189712524414,0.12603595852851868,9.999999747378752e-05,100.0,-27.075923919677734,0.0,100.0
39,-43.74660873413086,0.0,134.0,11.648077011108398,0.13662509620189667,9.999999747378752e-05,100.0,-27.012210845947266,0.0,100.0
40,-42.178443908691406,0.0,135.0,11.684898376464844,0.15623047947883606,9.999999747378752e-05,100.0,-26.398876190185547,0.0,100.0
41,-40.729522705078125,0.0,136.0,11.87210464477539,0.12878762185573578,9.999999747378752e-05,100.0,-27.696889877319336,0.0,100.0
42,-39.57205581665039,0.0,135.0,11.906574249267578,0.17364485561847687,9.999999747378752e-05,100.0,-25.75414276123047,0.0,100.0
43,-38.82626724243164,0.0,135.0,12.116583824157715,0.12323196977376938,9.999999747378752e-05,100.0,-24.717063903808594,0.0,100.0
44,-38.15485763549805,0.0,135.0,12.070122718811035,0.12255192548036575,9.999999747378752e-05,100.0,-23.272964477539062,0.0,100.0
45,-37.675662994384766,0.0,135.0,12.365069389343262,0.12817715108394623,9.999999747378752e-05,100.0,-23.00677490234375,0.0,100.0
46,-37.111297607421875,0.0,136.0,12.378938674926758,0.10433218628168106,9.999999747378752e-05,100.0,-22.185495376586914,0.0,100.0
47,-35.73924255371094,0.0,135.0,12.395358085632324,0.15614615380764008,9.999999747378752e-05,100.0,-22.057506561279297,0.0,100.0
48,-34.45282745361328,0.0,136.0,12.611124038696289,0.18634723126888275,9.999999747378752e-05,100.0,-44.32379913330078,0.0,100.0
49,-33.50981140136719,0.0,135.0,12.542041778564453,0.1319807767868042,9.999999747378752e-05,100.0,-32.117767333984375,0.0,100.0
50,-32.98173141479492,0.0,135.0,12.661346435546875,0.12525250017642975,9.999999747378752e-05,100.0,-22.0024471282959,0.0,100.0
51,-32.58116149902344,0.0,136.0,12.646478652954102,0.1278117299079895,9.999999747378752e-05,100.0,-23.01051139831543,0.0,100.0
52,-32.314998626708984,0.0,135.0,12.734999656677246,0.15496675670146942,9.999999747378752e-05,100.0,-21.8240909576416,0.0,100.0
53,-32.232078552246094,0.0,136.0,12.843987464904785,0.19971510767936707,9.999999747378752e-05,100.0,-21.627424240112305,0.0,100.0
54,-32.22819900512695,0.0,135.0,12.662800788879395,0.16936369240283966,9.999999747378752e-05,100.0,-21.24884033203125,0.0,100.0
55,-32.2374267578125,0.0,136.0,12.954781532287598,0.1519515961408615,9.999999747378752e-05,100.0,-20.94642448425293,0.0,100.0
56,-32.24867630004883,0.0,136.0,12.973698616027832,0.13078735768795013,9.999999747378752e-05,100.0,-21.910083770751953,0.0,100.0
57,-32.221534729003906,0.0,135.0,12.868334770202637,0.1934473216533661,9.999999747378752e-05,100.0,-20.1239070892334,0.0,100.0
58,-32.20596694946289,0.0,136.0,13.173981666564941,0.15396739542484283,9.999999747378752e-05,100.0,-20.822214126586914,0.0,100.0
59,-32.196571350097656,0.0,135.0,13.006430625915527,0.17981675267219543,9.999999747378752e-05,100.0,-20.957075119018555,0.0,100.0
60,-32.18177032470703,0.0,135.0,13.052592277526855,0.20167754590511322,9.999999747378752e-05,100.0,-20.077638626098633,0.0,100.0
61,-32.126583099365234,0.0,136.0,13.080078125,0.15804743766784668,9.999999747378752e-05,100.0,-20.227407455444336,0.0,100.0
62,-32.0751838684082,0.0,135.0,13.026476860046387,0.18802103400230408,9.999999747378752e-05,100.0,-20.844636917114258,0.0,100.0
63,-32.002864837646484,0.0,135.0,13.134769439697266,0.1638677716255188,9.999999747378752e-05,100.0,-20.274757385253906,0.0,100.0
64,-31.933685302734375,0.0,135.0,13.218591690063477,0.18850645422935486,9.999999747378752e-05,100.0,-20.5804386138916,0.0,100.0
65,-31.862974166870117,0.0,135.0,13.292723655700684,0.13898132741451263,9.999999747378752e-05,100.0,-20.33644676208496,0.0,100.0
