,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-191.4056396484375,59.0,-12.106285095214844,0.7297554612159729,0.9324569702148438,-0.5869574546813965,9.999999747378752e-05,200.0,-180.92373657226562,200.0
1,-180.85415649414062,50.0,-18.89188003540039,0.7459828853607178,0.8607743978500366,-1.2507915496826172,9.999999747378752e-05,200.0,-186.00161743164062,200.0
2,-181.68846130371094,47.0,-24.10780143737793,1.7531242370605469,0.7946407794952393,-1.9217820167541504,9.999999747378752e-05,200.0,-190.71484375,200.0
3,-181.25157165527344,46.0,-28.46965980529785,0.5286519527435303,0.733668327331543,-2.5957109928131104,9.999999747378752e-05,200.0,-192.10707092285156,200.0
4,-182.50408935546875,46.0,-31.40385627746582,1.0758756399154663,0.6775420308113098,-3.189347505569458,9.999999747378752e-05,200.0,-184.79867553710938,200.0
5,-183.79441833496094,47.0,-33.64741134643555,0.7606966495513916,0.6257480382919312,-3.8566911220550537,9.999999747378752e-05,200.0,-192.09329223632812,200.0
6,-185.2079315185547,47.0,-35.25042724609375,3.402609348297119,0.5779338479042053,-4.4750518798828125,9.999999747378752e-05,200.0,-178.2874298095703,200.0
7,-186.1121063232422,46.0,-34.93302536010742,1.9758660793304443,0.5337809324264526,-5.105127334594727,9.999999747378752e-05,200.0,-189.37469482421875,200.0
8,-185.78208923339844,46.0,-36.435935974121094,0.8812093138694763,0.4929647743701935,-5.768281936645508,9.999999747378752e-05,200.0,-188.23521423339844,200.0
9,-186.16758728027344,46.0,-35.407005310058594,1.4136881828308105,0.4552970230579376,-6.416392803192139,9.999999747378752e-05,200.0,-188.55606079101562,200.0
10,-186.2757110595703,46.0,-34.95943832397461,2.002761125564575,0.4204726219177246,-6.88206148147583,9.999999747378752e-05,200.0,-176.98475646972656,200.0
11,-186.66641235351562,46.0,-33.37654113769531,1.0448119640350342,0.3882819712162018,-7.561193466186523,9.999999747378752e-05,200.0,-173.75115966796875,200.0
12,-186.6651153564453,46.0,-30.98392677307129,2.686929941177368,0.3585350811481476,-8.21495246887207,9.999999747378752e-05,200.0,-176.8344268798828,200.0
13,-186.12557983398438,46.0,-27.271459579467773,0.9468302726745605,0.331100732088089,-8.707494735717773,9.999999747378752e-05,200.0,-167.58058166503906,200.0
14,-185.41502380371094,46.0,-27.352006912231445,1.0551611185073853,0.3057969808578491,-9.346911430358887,9.999999747378752e-05,200.0,-176.1891326904297,200.0
15,-185.26068115234375,47.0,-25.299396514892578,0.6520040035247803,0.2824224531650543,-9.960205078125,9.999999747378752e-05,200.0,-165.43649291992188,200.0
16,-184.88392639160156,47.0,-21.505531311035156,0.6748660206794739,0.2608570456504822,-10.531548500061035,9.999999747378752e-05,200.0,-169.21884155273438,200.0
17,-183.91490173339844,46.0,-20.069379806518555,0.9535710215568542,0.2409554272890091,-11.047901153564453,9.999999747378752e-05,200.0,-160.08494567871094,200.0
18,-183.53990173339844,46.0,-16.35261344909668,0.6279869079589844,0.2225811779499054,-11.448115348815918,9.999999747378752e-05,200.0,-153.9815673828125,200.0
19,-183.0413360595703,46.0,-14.146686553955078,0.4618763327598572,0.20559416711330414,-12.153298377990723,9.999999747378752e-05,200.0,-152.53976440429688,200.0
20,-182.15025329589844,46.0,-12.536569595336914,0.7957093715667725,0.18989861011505127,-12.591897010803223,9.999999747378752e-05,200.0,-151.38427734375,200.0
21,-181.21551513671875,46.0,-9.42353343963623,0.37627941370010376,0.17544050514698029,-12.924985885620117,9.999999747378752e-05,200.0,-146.5961456298828,200.0
22,-180.088623046875,46.0,-7.537535190582275,0.28863829374313354,0.1621503084897995,-13.387364387512207,9.999999747378752e-05,200.0,-136.15219116210938,200.0
23,-178.84512329101562,46.0,-4.182055950164795,0.7082732915878296,0.1499018669128418,-14.006752967834473,9.999999747378752e-05,200.0,-125.5976333618164,200.0
24,-177.8448944091797,46.0,-3.397991180419922,0.24186930060386658,0.1385948657989502,-14.156487464904785,9.999999747378752e-05,200.0,-123.6107177734375,200.0
25,-176.20895385742188,46.0,-0.8522996306419373,0.2382940649986267,0.12811648845672607,-14.672987937927246,9.999999747378752e-05,200.0,-115.09639739990234,200.0
26,-175.3993682861328,46.0,2.0836379528045654,0.2867867946624756,0.11840126663446426,-15.191629409790039,9.999999747378752e-05,200.0,-114.45960998535156,200.0
27,-173.7305145263672,47.0,3.741978168487549,0.2657506465911865,0.10940572619438171,-15.330856323242188,9.999999747378752e-05,200.0,-116.2038803100586,200.0
28,-171.93984985351562,47.0,5.520781517028809,0.6188642978668213,0.10112150758504868,-15.051668167114258,9.999999747378752e-05,200.0,-109.34183502197266,200.0
29,-169.56112670898438,47.0,7.7039384841918945,0.19918233156204224,0.09351549297571182,-15.970921516418457,9.999999747378752e-05,200.0,-108.46922302246094,200.0
30,-166.94921875,47.0,8.811698913574219,0.2502470910549164,0.08655493706464767,-15.602975845336914,9.999999747378752e-05,200.0,-106.63130187988281,200.0
31,-163.9122314453125,47.0,10.422882080078125,0.5910227298736572,0.0801813006401062,-15.528675079345703,9.999999747378752e-05,200.0,-114.31034088134766,200.0
32,-161.01022338867188,47.0,11.835542678833008,0.7774960994720459,0.07428837567567825,-14.616522789001465,9.999999747378752e-05,200.0,-104.0818862915039,200.0
33,-158.11294555664062,46.0,12.652688026428223,1.1364117860794067,0.06883469969034195,-14.825522422790527,9.999999747378752e-05,200.0,-103.24151611328125,200.0
34,-154.99488830566406,46.0,14.908522605895996,3.2426488399505615,0.06376548111438751,-15.298487663269043,9.999999747378752e-05,200.0,-136.76437377929688,200.0
35,-152.08340454101562,46.0,15.186460494995117,1.1063816547393799,0.059079814702272415,-14.724992752075195,9.999999747378752e-05,200.0,-128.82948303222656,200.0
36,-148.91494750976562,46.0,16.237634658813477,1.578017234802246,0.05476820468902588,-15.305516242980957,9.999999747378752e-05,200.0,-125.57308197021484,200.0
37,-145.49447631835938,46.0,16.95611000061035,1.681495189666748,0.05080311745405197,-14.070192337036133,9.999999747378752e-05,200.0,-118.75166320800781,200.0
38,-142.69627380371094,46.0,18.044477462768555,1.4729623794555664,0.04715457931160927,-13.758075714111328,9.999999747378752e-05,200.0,-110.18084716796875,200.0
39,-139.9286346435547,46.0,18.609373092651367,0.37047314643859863,0.04377726465463638,-13.453749656677246,9.999999747378752e-05,200.0,-104.9386215209961,200.0
40,-136.9767608642578,47.0,19.372968673706055,0.3352893888950348,0.040688406676054,-12.572491645812988,9.999999747378752e-05,200.0,-109.95671081542969,200.0
41,-133.87030029296875,47.0,19.89424705505371,0.9667654037475586,0.037846099585294724,-12.937296867370605,9.999999747378752e-05,200.0,-195.7243194580078,200.0
42,-131.71597290039062,47.0,20.557533264160156,0.4505242705345154,0.03519253805279732,-10.862991333007812,9.999999747378752e-05,200.0,-549.9028930664062,200.0
43,-130.08457946777344,47.0,20.329816818237305,1.1918351650238037,0.03272183984518051,-12.251775741577148,9.999999747378752e-05,200.0,-128.30215454101562,200.0
44,-128.25929260253906,47.0,20.7927188873291,0.6667134761810303,0.030413443222641945,-10.981624603271484,9.999999747378752e-05,200.0,-113.8635025024414,200.0
45,-127.12550354003906,47.0,20.953746795654297,1.1766517162322998,0.02823561802506447,-12.582598686218262,9.999999747378752e-05,200.0,-218.1470947265625,200.0
46,-125.50666809082031,47.0,21.694608688354492,4.159275054931641,0.026195095852017403,-10.39777660369873,9.999999747378752e-05,200.0,-236.6049346923828,200.0
47,-123.91520690917969,47.0,22.89039421081543,0.3920396566390991,0.024341315031051636,-9.021646499633789,9.999999747378752e-05,200.0,-198.1738739013672,200.0
48,-122.28540802001953,47.0,22.25802230834961,0.4824918508529663,0.022642817348241806,-8.769757270812988,9.999999747378752e-05,200.0,-108.83454895019531,200.0
49,-120.54177856445312,47.0,22.468896865844727,0.415411114692688,0.021059947088360786,-8.570710182189941,9.999999747378752e-05,200.0,-200.46893310546875,200.0
50,-118.55035400390625,47.0,22.56197738647461,1.3941032886505127,0.01962696760892868,-6.907609939575195,9.999999747378752e-05,200.0,-139.68807983398438,200.0
51,-118.52193450927734,47.0,22.168954849243164,1.5947678089141846,0.018328189849853516,-6.047324180603027,9.999999747378752e-05,200.0,-312.59893798828125,200.0
52,-120.12532806396484,47.0,22.63026237487793,0.9792381525039673,0.017244981601834297,-4.986686706542969,9.999999747378752e-05,200.0,-425.165283203125,200.0
53,-132.71060180664062,47.0,23.109159469604492,2.2475578784942627,0.01642652042210102,-4.416435241699219,9.999999747378752e-05,200.0,-114.8884506225586,200.0
54,-136.29638671875,47.0,23.236562728881836,0.5396392345428467,0.015577009879052639,-4.444157600402832,9.999999747378752e-05,200.0,-91.78339385986328,200.0
55,-137.91510009765625,47.0,22.42438507080078,0.5809129476547241,0.014552834443747997,-3.58170223236084,9.999999747378752e-05,200.0,-90.6338882446289,200.0
56,-142.05075073242188,47.0,24.221010208129883,1.9202077388763428,0.013578647747635841,-3.5296239852905273,9.999999747378752e-05,200.0,-93.48868560791016,200.0
57,-146.5301971435547,47.0,23.98771858215332,0.5475042462348938,0.012939208187162876,-4.50545072555542,9.999999747378752e-05,200.0,-96.16532135009766,200.0
58,-151.5147705078125,47.0,24.092811584472656,0.756101131439209,0.012630916200578213,-1.7658791542053223,9.999999747378752e-05,200.0,-87.42839050292969,200.0
59,-157.70347595214844,47.0,24.342851638793945,0.5155240297317505,0.01217576302587986,-0.6704605221748352,9.999999747378752e-05,200.0,-109.74052429199219,200.0
60,-158.85250854492188,47.0,25.114587783813477,3.489675998687744,0.011651475913822651,-0.8088703751564026,9.999999747378752e-05,200.0,-122.43788146972656,200.0
61,-160.47605895996094,47.0,24.6177921295166,1.0615825653076172,0.011390918865799904,0.3772125542163849,9.999999747378752e-05,200.0,-89.67286682128906,200.0
62,-164.591796875,47.0,24.816986083984375,0.8868432641029358,0.0113303167745471,-0.34525081515312195,9.999999747378752e-05,200.0,-90.22037506103516,200.0
63,-165.52474975585938,47.0,25.95953369140625,0.5918022394180298,0.01170700415968895,1.0982470512390137,9.999999747378752e-05,200.0,-127.720947265625,200.0
64,-172.03675842285156,47.0,26.68156623840332,11.908616065979004,0.012525416910648346,-0.11749933660030365,9.999999747378752e-05,200.0,-262.22918701171875,200.0
65,-184.72927856445312,47.0,26.925048828125,0.8071268796920776,0.012771088629961014,0.3622797727584839,9.999999747378752e-05,200.0,-89.55508422851562,200.0
66,-197.04859924316406,47.0,28.135475158691406,4.959371566772461,0.012257350608706474,-0.15945826470851898,9.999999747378752e-05,200.0,-93.56005859375,200.0
67,-204.32188415527344,47.0,28.37718963623047,1.3764219284057617,0.011750880628824234,-0.704438328742981,9.999999747378752e-05,200.0,-145.39508056640625,200.0
68,-203.15078735351562,47.0,27.568910598754883,1.0944585800170898,0.011411430314183235,-1.3678219318389893,9.999999747378752e-05,200.0,-148.5883026123047,200.0
69,-201.68104553222656,47.0,29.371498107910156,0.7661563158035278,0.011247361078858376,-0.4090350270271301,9.999999747378752e-05,200.0,-179.2986297607422,200.0
70,-199.90850830078125,47.0,30.167619705200195,0.7921907901763916,0.011155061423778534,-0.07834991067647934,9.999999747378752e-05,200.0,-154.32579040527344,200.0
71,-198.83160400390625,47.0,31.35885238647461,2.9498939514160156,0.0112055204808712,-1.9369187355041504,9.999999747378752e-05,200.0,-149.08319091796875,200.0
72,-197.8949432373047,47.0,30.362533569335938,2.0705697536468506,0.011108382605016232,-0.7192729115486145,9.999999747378752e-05,200.0,-140.5736846923828,200.0
73,-196.95263671875,47.0,30.936614990234375,3.5034661293029785,0.011267410591244698,-1.6701050996780396,9.999999747378752e-05,200.0,-144.21804809570312,200.0
74,-197.0878143310547,47.0,29.061038970947266,2.587278366088867,0.011437867768108845,-0.3820522129535675,9.999999747378752e-05,200.0,-121.32722473144531,200.0
75,-197.4566650390625,47.0,30.664873123168945,1.2354432344436646,0.011704805307090282,-0.19373531639575958,9.999999747378752e-05,200.0,-102.04560852050781,200.0
76,-196.37741088867188,47.0,28.183969497680664,1.0383902788162231,0.011748263612389565,0.02283809520304203,9.999999747378752e-05,200.0,-93.32608795166016,200.0
77,-192.68017578125,46.0,29.761077880859375,1.5932633876800537,0.011714800260961056,-2.2899186611175537,9.999999747378752e-05,200.0,-88.6395263671875,200.0
78,-178.1885986328125,46.0,29.98841667175293,1.144100308418274,0.011667865328490734,-0.4417327642440796,9.999999747378752e-05,200.0,-111.56793212890625,200.0
79,-173.82125854492188,46.0,30.04122543334961,0.9345970153808594,0.011490308679640293,1.075244426727295,9.999999747378752e-05,200.0,-114.3330307006836,200.0
80,-172.50070190429688,47.0,31.338668823242188,0.882420539855957,0.011323305778205395,-1.1295380592346191,9.999999747378752e-05,200.0,-244.058837890625,200.0
81,-169.72921752929688,47.0,31.489591598510742,0.8239128589630127,0.011294716037809849,0.39277270436286926,9.999999747378752e-05,200.0,-578.1658325195312,200.0
82,-163.95179748535156,47.0,30.465497970581055,2.5111570358276367,0.011217067949473858,1.1014752388000488,9.999999747378752e-05,200.0,-412.99090576171875,200.0
83,-157.91294860839844,46.0,29.973976135253906,1.072784662246704,0.011168990284204483,0.7932789921760559,9.999999747378752e-05,200.0,-284.8070983886719,200.0
84,-151.8240509033203,46.0,27.479339599609375,0.7303698062896729,0.010981871746480465,1.8837244510650635,9.999999747378752e-05,200.0,-160.31979370117188,200.0
85,-152.60751342773438,46.0,30.04462242126465,0.7412083745002747,0.010961807332932949,-0.5496671795845032,9.999999747378752e-05,200.0,-140.10008239746094,200.0
86,-152.43142700195312,46.0,29.40863037109375,1.731872320175171,0.010951227508485317,1.3308990001678467,9.999999747378752e-05,200.0,-131.81491088867188,200.0
87,-151.1385498046875,46.0,29.54587173461914,1.108986258506775,0.011031116358935833,0.7724601030349731,9.999999747378752e-05,200.0,-117.2647705078125,200.0
88,-152.2493438720703,46.0,32.05854797363281,0.7324076890945435,0.011196131817996502,1.0136555433273315,9.999999747378752e-05,200.0,-110.0274887084961,200.0
89,-148.40774536132812,46.0,29.318920135498047,0.9566311836242676,0.011428605765104294,-1.739632487297058,9.999999747378752e-05,200.0,-107.23905944824219,200.0
90,-137.05978393554688,46.0,28.703720092773438,0.6630584001541138,0.011657672002911568,0.5261134505271912,9.999999747378752e-05,200.0,-101.66790771484375,200.0
91,-126.46033477783203,46.0,31.320247650146484,1.901838779449463,0.011800309643149376,2.872757911682129,9.999999747378752e-05,200.0,-111.46260070800781,200.0
92,-120.11507415771484,46.0,29.451828002929688,1.1087846755981445,0.011807463131844997,-2.201979398727417,9.999999747378752e-05,200.0,-113.69599914550781,200.0
93,-121.17633819580078,46.0,28.853994369506836,1.5790685415267944,0.011615716852247715,-0.42592620849609375,9.999999747378752e-05,200.0,-104.66581726074219,200.0
94,-121.83731079101562,46.0,28.68384552001953,0.6291490793228149,0.011477850377559662,-2.9415125846862793,9.999999747378752e-05,200.0,-106.31159973144531,200.0
