,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,rollout/ep_len_mean
0,-24.727060317993164,0.0,120.0,-5.483312129974365,0.17669564485549927,0.9902329444885254,-0.06599587947130203,9.999999747378752e-05,50.0
1,-25.34040069580078,0.0,87.0,-7.341037273406982,0.4870870113372803,0.9706199765205383,-0.20086631178855896,9.999999747378752e-05,50.0
2,-26.656492233276367,0.0,80.0,-8.997162818908691,1.2457983493804932,0.9514026045799255,-0.3345760405063629,9.999999747378752e-05,50.0
3,-26.66554069519043,0.0,77.0,-10.5559663772583,2.5978353023529053,0.9325689077377319,-0.4690696597099304,9.999999747378752e-05,50.0
4,-26.964597702026367,0.0,75.0,-12.248519897460938,2.1703081130981445,0.9141054153442383,-0.6026077270507812,9.999999747378752e-05,50.0
5,-27.367374420166016,0.0,74.0,-13.671195983886719,1.5834369659423828,0.8960137963294983,-0.7372987866401672,9.999999747378752e-05,50.0
6,-27.61698341369629,0.0,73.0,-14.602109909057617,3.3548598289489746,0.8782790899276733,-0.8788182139396667,9.999999747378752e-05,50.0
7,-27.955677032470703,0.0,72.0,-16.127771377563477,3.1624093055725098,0.860893964767456,-1.0081157684326172,9.999999747378752e-05,50.0
8,-27.738115310668945,0.0,72.0,-16.957517623901367,10.172369956970215,0.8438491225242615,-1.1453981399536133,9.999999747378752e-05,50.0
9,-27.732561111450195,0.0,72.0,-17.89935302734375,6.529521942138672,0.8271406292915344,-1.2809319496154785,9.999999747378752e-05,50.0
10,-27.599300384521484,0.0,72.0,-18.810039520263672,3.0362918376922607,0.8107689619064331,-1.406666874885559,9.999999747378752e-05,50.0
11,-27.59822654724121,0.0,71.0,-19.60438346862793,6.635400772094727,0.7947183847427368,-1.5543475151062012,9.999999747378752e-05,50.0
12,-27.60232925415039,0.0,71.0,-20.70363998413086,5.5636749267578125,0.7789851427078247,-1.6800816059112549,9.999999747378752e-05,50.0
13,-27.40081787109375,0.0,71.0,-20.973552703857422,12.834514617919922,0.763563334941864,-1.810931921005249,9.999999747378752e-05,50.0
14,-27.307140350341797,0.0,71.0,-21.797170639038086,10.178462982177734,0.7484512329101562,-1.9381910562515259,9.999999747378752e-05,50.0
15,-27.222543716430664,0.0,71.0,-22.670063018798828,14.708768844604492,0.7336352467536926,-2.066927671432495,9.999999747378752e-05,50.0
16,-27.08448028564453,0.0,70.0,-23.286928176879883,14.113534927368164,0.7191157341003418,-2.2077481746673584,9.999999747378752e-05,50.0
