,eval/mean_reward,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,eval/mean_ep_length
0,-200.65916442871094,3445.0,0.009466875344514847,0.1316281259059906,0.20000000298023224,-7.062107086181641,-0.15747416019439697,9.999999747378752e-05,0.002270336262881756,-0.011310798116028309,0.9932258725166321,0.04707268998026848,200.0
1,-215.51239013671875,2166.0,0.009148279204964638,0.12365937232971191,0.20000000298023224,-7.007153511047363,0.42555367946624756,9.999999747378752e-05,-0.01469339057803154,-0.009318144991993904,0.9814013838768005,0.009801534004509449,200.0
2,-222.0816650390625,2029.0,0.00664609856903553,0.07235624641180038,0.20000000298023224,-6.953534126281738,0.7800230383872986,9.999999747378752e-05,-0.0056879217736423016,-0.0052023157477378845,0.9712528586387634,0.003348615951836109,200.0
3,-204.8368682861328,1960.0,0.009207230061292648,0.11749312281608582,0.20000000298023224,-6.925351619720459,0.9050142168998718,9.999999747378752e-05,-0.019199691712856293,-0.008597749285399914,0.9662967920303345,0.003420903580263257,200.0
4,-205.5321807861328,1921.0,0.009976956993341446,0.14108750224113464,0.20000000298023224,-6.886008262634277,0.9548501372337341,9.999999747378752e-05,-0.02632591873407364,-0.011746996082365513,0.9585766196250916,0.003769051283597946,200.0
5,-190.86697387695312,1894.0,0.010802012868225574,0.14753186702728271,0.20000000298023224,-6.821165561676025,0.9754248261451721,9.999999747378752e-05,-0.02180824615061283,-0.0136951245367527,0.9458035826683044,0.003564543556421995,200.0
6,-190.38168334960938,1877.0,0.011628883890807629,0.1472812443971634,0.20000000298023224,-6.729140758514404,0.9846639633178711,9.999999747378752e-05,-0.006081371568143368,-0.014569205231964588,0.9282993674278259,0.0033830604515969753,200.0
7,-168.72787475585938,1864.0,0.012150101363658905,0.15615375339984894,0.20000000298023224,-6.62037467956543,0.9895798563957214,9.999999747378752e-05,-0.025376737117767334,-0.01598036289215088,0.9085836410522461,0.0033100293949246407,200.0
8,-170.7575225830078,1851.0,0.012870591133832932,0.1654018759727478,0.20000000298023224,-6.499791145324707,0.9918169975280762,9.999999747378752e-05,-0.030952293425798416,-0.0171465165913105,0.8873562216758728,0.003342351410537958,200.0
9,-164.74249267578125,1842.0,0.014398686587810516,0.17393437027931213,0.20000000298023224,-6.3767595291137695,0.9929360747337341,9.999999747378752e-05,-0.021603841334581375,-0.01801091432571411,0.8655655980110168,0.0032485113479197025,200.0
10,-129.09841918945312,1834.0,0.014335429295897484,0.17541812360286713,0.20000000298023224,-6.252091884613037,0.9933496713638306,9.999999747378752e-05,-0.006675796117633581,-0.01842118427157402,0.8449460864067078,0.003301899414509535,200.0
