,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/std,train/value_loss,time/fps
0,0.004831194877624512,0.0,0.20000000298023224,-2.836977243423462,0.002033054828643799,9.999999747378752e-05,2.9433810710906982,-0.0025932281278073788,0.9990004301071167,5.982698917388916,123.0
1,0.008435964584350586,0.0,0.20000000298023224,-2.8355696201324463,-0.33371806144714355,9.999999747378752e-05,0.5378739237785339,-0.02277170494198799,0.9988254308700562,1.5780110359191895,44.0
2,0.020946145057678223,0.0,0.20000000298023224,-2.835571527481079,0.4075387120246887,9.999999747378752e-05,-0.025269437581300735,-0.014213445596396923,0.9988304972648621,0.10549258440732956,37.0
3,-0.016508936882019043,0.0,0.20000000298023224,-2.8355813026428223,-2.05885648727417,9.999999747378752e-05,0.49838370084762573,-0.011860420927405357,0.9989416599273682,1.5669370889663696,35.0
4,0.034746766090393066,0.0,0.20000000298023224,-2.835505962371826,0.9703933596611023,9.999999747378752e-05,-0.02361033484339714,-0.010094392113387585,0.9985532760620117,0.004283836577087641,33.0
5,0.10442852973937988,0.0,0.20000000298023224,-2.8346500396728516,0.8129829168319702,9.999999747378752e-05,4.9596781730651855,0.019746804609894753,0.9982702732086182,12.517112731933594,32.0
6,0.05716538429260254,0.0,0.20000000298023224,-2.8341994285583496,0.4018976092338562,9.999999747378752e-05,0.16683503985404968,-0.02059203013777733,0.997969925403595,0.46653592586517334,31.0
7,-0.004960417747497559,0.0,0.20000000298023224,-2.833529233932495,-435.0250244140625,9.999999747378752e-05,0.7288042306900024,0.00021808742894791067,0.9977048635482788,2.1837351322174072,31.0
8,-0.03573620319366455,0.0,0.20000000298023224,-2.8333542346954346,-520.6895141601562,9.999999747378752e-05,0.18603214621543884,-0.032408758997917175,0.9978750348091125,0.641013503074646,31.0
9,-0.03351140022277832,0.0,0.20000000298023224,-2.8339688777923584,-16.885663986206055,9.999999747378752e-05,-0.03833480924367905,-0.025035515427589417,0.9982621669769287,0.09873324632644653,31.0
10,-0.0035054683685302734,0.0,0.20000000298023224,-2.834520101547241,-84.38566589355469,9.999999747378752e-05,0.2775418162345886,0.005208310671150684,0.9982945919036865,0.9893761873245239,30.0
11,-0.036307573318481445,0.0,0.20000000298023224,-2.8344385623931885,-464.7367248535156,9.999999747378752e-05,0.02597295492887497,-0.009453522972762585,0.9983460903167725,0.32469284534454346,30.0
